session,file,path,kind,bytes,rows,columns,distinct_settings_in_file,what_it_is,produced_by,bias,z_parking,run_settings,session_log_passage,tip,sample,session_log,session_when,excluded_why,caveat,metadata_source
2026-09-17-bench,diag_line_repeated.csv,sessions/data/2026-09-17-bench/diag_line_repeated.csv,csv,2782,20,"y, dir, then 21 X DAC codes 32368..33168",20 pass rows,"one line scanned ten times, +-400 X",a scratch diagnostic variant of stm_feedback_scan.py,38229 = sample -0.5 V. NOT stated beside the scans: the tool ignored its own bias argument and wrote 38229 unconditionally until it was fixed after this session (sessions/2026-09-17-bench.md code-changes section; the fix is commented at Code/pc/stm_feedback_scan.py:206-211),loop-controlled,cell = the Z DAC code the feedback loop needed to hold the setpoint; column header = X DAC code; first column = Y DAC code; two rows per line (fwd and back),sessions/2026-09-17-bench.md 3.24 H2,the blunt bent placeholder tip (identified as bent only on 2026-09-19),"crumpled gold leaf; SAID at the end: the junction was probably on the COPPER beside it, not the gold (3.27)",sessions/2026-09-17-bench.md,"2026-09-17 evening local, UTC 2026-09-17",,every fwd and back array is BYTE-IDENTICAL: the scratch tool stored the forward pass twice. Any trace-versus-retrace figure from this file is meaningless (sessions/2026-09-17-bench.md 3.25),"recovered from the session log's code-changes section, not from the scan record"
2026-09-17-bench,diag_scan_normal_1.csv,sessions/data/2026-09-17-bench/diag_scan_normal_1.csv,csv,2316,16,"y, dir, then 21 X DAC codes 32368..33168",16 pass rows,"diagnostic scan, 15 loop corrections per pixel",Code/pc/stm_feedback_scan.py or a diagnostic variant,38229 = sample -0.5 V. NOT stated beside the scans: the tool ignored its own bias argument and wrote 38229 unconditionally until it was fixed after this session (sessions/2026-09-17-bench.md code-changes section; the fix is commented at Code/pc/stm_feedback_scan.py:206-211),"loop-controlled, clamped 12000-48000",cell = the Z DAC code the feedback loop needed to hold the setpoint; column header = X DAC code; first column = Y DAC code; two rows per line (fwd and back),sessions/2026-09-17-bench.md 3.22-3.24; sessions/data/2026-09-17-bench/README.md,the blunt bent placeholder tip (identified as bent only on 2026-09-19),"crumpled gold leaf; SAID at the end: the junction was probably on the COPPER beside it, not the gold (3.27)",sessions/2026-09-17-bench.md,"2026-09-17 evening local, UTC 2026-09-17",,,"recovered from the session log's code-changes section, not from the scan record"
2026-09-17-bench,diag_scan_normal_2.csv,sessions/data/2026-09-17-bench/diag_scan_normal_2.csv,csv,2316,16,"y, dir, then 21 X DAC codes 32368..33168",16 pass rows,"diagnostic scan, 15 loop corrections per pixel",Code/pc/stm_feedback_scan.py or a diagnostic variant,38229 = sample -0.5 V. NOT stated beside the scans: the tool ignored its own bias argument and wrote 38229 unconditionally until it was fixed after this session (sessions/2026-09-17-bench.md code-changes section; the fix is commented at Code/pc/stm_feedback_scan.py:206-211),"loop-controlled, clamped 12000-48000",cell = the Z DAC code the feedback loop needed to hold the setpoint; column header = X DAC code; first column = Y DAC code; two rows per line (fwd and back),sessions/2026-09-17-bench.md 3.22-3.24; sessions/data/2026-09-17-bench/README.md,the blunt bent placeholder tip (identified as bent only on 2026-09-19),"crumpled gold leaf; SAID at the end: the junction was probably on the COPPER beside it, not the gold (3.27)",sessions/2026-09-17-bench.md,"2026-09-17 evening local, UTC 2026-09-17",,,"recovered from the session log's code-changes section, not from the scan record"
2026-09-17-bench,diag_scan_x_held.csv,sessions/data/2026-09-17-bench/diag_scan_x_held.csv,csv,2316,16,"y, dir, then 21 X DAC codes 32368..33168",16 pass rows,"THE CONTROL: identical timing, X never moved",Code/pc/stm_feedback_scan.py or a diagnostic variant,38229 = sample -0.5 V. NOT stated beside the scans: the tool ignored its own bias argument and wrote 38229 unconditionally until it was fixed after this session (sessions/2026-09-17-bench.md code-changes section; the fix is commented at Code/pc/stm_feedback_scan.py:206-211),"loop-controlled, clamped 12000-48000",cell = the Z DAC code the feedback loop needed to hold the setpoint; column header = X DAC code; first column = Y DAC code; two rows per line (fwd and back),sessions/2026-09-17-bench.md 3.22-3.24; sessions/data/2026-09-17-bench/README.md,the blunt bent placeholder tip (identified as bent only on 2026-09-19),"crumpled gold leaf; SAID at the end: the junction was probably on the COPPER beside it, not the gold (3.27)",sessions/2026-09-17-bench.md,"2026-09-17 evening local, UTC 2026-09-17",,,"recovered from the session log's code-changes section, not from the scan record"
2026-09-17-bench,line_repeated_wide.csv,sessions/data/2026-09-17-bench/line_repeated_wide.csv,csv,3316,24,"y, dir, then 21 X DAC codes 17768..47768",24 pass rows,"one line, 12 passes, +-15000 X",a scratch diagnostic variant of stm_feedback_scan.py,38229 = sample -0.5 V. NOT stated beside the scans: the tool ignored its own bias argument and wrote 38229 unconditionally until it was fixed after this session (sessions/2026-09-17-bench.md code-changes section; the fix is commented at Code/pc/stm_feedback_scan.py:206-211),loop-controlled,cell = the Z DAC code the feedback loop needed to hold the setpoint; column header = X DAC code; first column = Y DAC code; two rows per line (fwd and back),sessions/2026-09-17-bench.md 3.25,the blunt bent placeholder tip (identified as bent only on 2026-09-19),"crumpled gold leaf; SAID at the end: the junction was probably on the COPPER beside it, not the gold (3.27)",sessions/2026-09-17-bench.md,"2026-09-17 evening local, UTC 2026-09-17",,same byte-identical fwd/back defect as diag_line_repeated.csv,"recovered from the session log's code-changes section, not from the scan record"
2026-09-17-bench,line_three_y_positions.csv,sessions/data/2026-09-17-bench/line_three_y_positions.csv,csv,2125,15,"y_offset, pass, then 21 X DAC codes 24768..40768",15 pass rows,"one line at three separated Y positions, +-8000 X",a scratch three-Y control,38229 = sample -0.5 V. NOT stated beside the scans: the tool ignored its own bias argument and wrote 38229 unconditionally until it was fixed after this session (sessions/2026-09-17-bench.md code-changes section; the fix is commented at Code/pc/stm_feedback_scan.py:206-211),loop-controlled,"first column = Y offset, second = pass number, 5 passes per place",sessions/2026-09-17-bench.md 3.25 CORRECTION,the blunt bent placeholder tip (identified as bent only on 2026-09-19),"crumpled gold leaf; SAID at the end: the junction was probably on the COPPER beside it, not the gold (3.27)",sessions/2026-09-17-bench.md,"2026-09-17 evening local, UTC 2026-09-17",,the CORRECTION in 3.25 records that this control was run at the WRONG WIDTH (+-8000 against the wide scans' +-15000) and so had no power to discriminate,"recovered from the session log's code-changes section, not from the scan record"
2026-09-17-bench,scan_fast_1.csv,sessions/data/2026-09-17-bench/scan_fast_1.csv,csv,3408,24,"y, dir, then 21 X DAC codes 32368..33168",24 pass rows,one of four images of the same patch,Code/pc/stm_feedback_scan.py or a diagnostic variant,38229 = sample -0.5 V. NOT stated beside the scans: the tool ignored its own bias argument and wrote 38229 unconditionally until it was fixed after this session (sessions/2026-09-17-bench.md code-changes section; the fix is commented at Code/pc/stm_feedback_scan.py:206-211),"loop-controlled, clamped 12000-48000",4.5-6.2 s each; cell = the Z DAC code the feedback loop needed to hold the setpoint; column header = X DAC code; first column = Y DAC code; two rows per line (fwd and back),sessions/2026-09-17-bench.md 3.22-3.24; sessions/data/2026-09-17-bench/README.md,the blunt bent placeholder tip (identified as bent only on 2026-09-19),"crumpled gold leaf; SAID at the end: the junction was probably on the COPPER beside it, not the gold (3.27)",sessions/2026-09-17-bench.md,"2026-09-17 evening local, UTC 2026-09-17",,,"recovered from the session log's code-changes section, not from the scan record"
2026-09-17-bench,scan_fast_2.csv,sessions/data/2026-09-17-bench/scan_fast_2.csv,csv,3408,24,"y, dir, then 21 X DAC codes 32368..33168",24 pass rows,one of four images of the same patch,Code/pc/stm_feedback_scan.py or a diagnostic variant,38229 = sample -0.5 V. NOT stated beside the scans: the tool ignored its own bias argument and wrote 38229 unconditionally until it was fixed after this session (sessions/2026-09-17-bench.md code-changes section; the fix is commented at Code/pc/stm_feedback_scan.py:206-211),"loop-controlled, clamped 12000-48000",4.5-6.2 s each; cell = the Z DAC code the feedback loop needed to hold the setpoint; column header = X DAC code; first column = Y DAC code; two rows per line (fwd and back),sessions/2026-09-17-bench.md 3.22-3.24; sessions/data/2026-09-17-bench/README.md,the blunt bent placeholder tip (identified as bent only on 2026-09-19),"crumpled gold leaf; SAID at the end: the junction was probably on the COPPER beside it, not the gold (3.27)",sessions/2026-09-17-bench.md,"2026-09-17 evening local, UTC 2026-09-17",,,"recovered from the session log's code-changes section, not from the scan record"
2026-09-17-bench,scan_fast_3.csv,sessions/data/2026-09-17-bench/scan_fast_3.csv,csv,3408,24,"y, dir, then 21 X DAC codes 32368..33168",24 pass rows,one of four images of the same patch,Code/pc/stm_feedback_scan.py or a diagnostic variant,38229 = sample -0.5 V. NOT stated beside the scans: the tool ignored its own bias argument and wrote 38229 unconditionally until it was fixed after this session (sessions/2026-09-17-bench.md code-changes section; the fix is commented at Code/pc/stm_feedback_scan.py:206-211),"loop-controlled, clamped 12000-48000",4.5-6.2 s each; cell = the Z DAC code the feedback loop needed to hold the setpoint; column header = X DAC code; first column = Y DAC code; two rows per line (fwd and back),sessions/2026-09-17-bench.md 3.22-3.24; sessions/data/2026-09-17-bench/README.md,the blunt bent placeholder tip (identified as bent only on 2026-09-19),"crumpled gold leaf; SAID at the end: the junction was probably on the COPPER beside it, not the gold (3.27)",sessions/2026-09-17-bench.md,"2026-09-17 evening local, UTC 2026-09-17",,,"recovered from the session log's code-changes section, not from the scan record"
2026-09-17-bench,scan_fast_4.csv,sessions/data/2026-09-17-bench/scan_fast_4.csv,csv,3408,24,"y, dir, then 21 X DAC codes 32368..33168",24 pass rows,one of four images of the same patch,Code/pc/stm_feedback_scan.py or a diagnostic variant,38229 = sample -0.5 V. NOT stated beside the scans: the tool ignored its own bias argument and wrote 38229 unconditionally until it was fixed after this session (sessions/2026-09-17-bench.md code-changes section; the fix is commented at Code/pc/stm_feedback_scan.py:206-211),"loop-controlled, clamped 12000-48000",4.5-6.2 s each; cell = the Z DAC code the feedback loop needed to hold the setpoint; column header = X DAC code; first column = Y DAC code; two rows per line (fwd and back),sessions/2026-09-17-bench.md 3.22-3.24; sessions/data/2026-09-17-bench/README.md,the blunt bent placeholder tip (identified as bent only on 2026-09-19),"crumpled gold leaf; SAID at the end: the junction was probably on the COPPER beside it, not the gold (3.27)",sessions/2026-09-17-bench.md,"2026-09-17 evening local, UTC 2026-09-17",,,"recovered from the session log's code-changes section, not from the scan record"
