t_s,onset_z
2.634723999999999933e+02,3.336800000000000000e+04
2.642232000000000198e+02,3.207800000000000000e+04
2.664347000000000207e+02,3.210400000000000000e+04
2.688693000000000097e+02,3.240000000000000000e+04
2.712500999999999749e+02,3.257600000000000000e+04
2.736551000000000045e+02,3.286200000000000000e+04
2.759028000000000134e+02,3.296400000000000000e+04
2.784956000000000245e+02,3.313200000000000000e+04
2.813516999999999939e+02,3.351000000000000000e+04
2.840577000000000112e+02,3.382600000000000000e+04
2.878994999999999891e+02,3.449800000000000000e+04
2.906671999999999798e+02,3.451200000000000000e+04
2.933009999999999877e+02,3.463600000000000000e+04
2.956075999999999908e+02,3.439400000000000000e+04
2.985833000000000084e+02,3.461200000000000000e+04
3.010785000000000196e+02,3.459000000000000000e+04
3.046721999999999753e+02,3.473200000000000000e+04
3.067192999999999756e+02,3.475800000000000000e+04
3.089628000000000156e+02,3.490400000000000000e+04
3.131888000000000147e+02,3.626800000000000000e+04
