t_s,onset_z
6.862709999999999866e+01,3.269400000000000000e+04
7.015409999999999968e+01,3.112400000000000000e+04
7.373130000000000450e+01,3.147600000000000000e+04
7.713479999999999848e+01,3.163600000000000000e+04
8.036230000000000473e+01,3.169400000000000000e+04
8.369629999999999370e+01,3.165400000000000000e+04
8.723499999999999943e+01,3.173200000000000000e+04
9.077009999999999934e+01,3.180000000000000000e+04
9.445090000000000430e+01,3.192800000000000000e+04
9.803279999999999461e+01,3.197200000000000000e+04
1.019583999999999975e+02,3.208600000000000000e+04
1.059367000000000019e+02,3.244400000000000000e+04
1.061008000000000067e+02,2.934000000000000000e+04
1.155210000000000008e+02,3.383400000000000000e+04
1.192356000000000051e+02,3.384200000000000000e+04
1.236662000000000035e+02,3.196000000000000000e+04
1.266762999999999977e+02,3.225400000000000000e+04
1.289807999999999879e+02,3.235200000000000000e+04
1.318132999999999981e+02,3.253600000000000000e+04
1.343420000000000130e+02,3.249400000000000000e+04
