t_s,onset_z
9.264300000000000423e+00,4.245600000000000000e+04
9.834600000000000009e+00,3.666400000000000000e+04
1.485670000000000002e+01,3.594600000000000000e+04
2.157809999999999917e+01,3.940400000000000000e+04
2.380010000000000048e+01,3.919000000000000000e+04
2.546430000000000149e+01,3.911200000000000000e+04
2.731980000000000075e+01,3.907800000000000000e+04
2.996640000000000015e+01,3.926200000000000000e+04
3.261050000000000182e+01,3.950600000000000000e+04
3.496399999999999864e+01,3.931000000000000000e+04
3.766129999999999711e+01,3.933000000000000000e+04
3.997950000000000159e+01,3.758200000000000000e+04
4.234749999999999659e+01,3.759000000000000000e+04
4.481889999999999930e+01,3.767200000000000000e+04
4.715780000000000172e+01,3.769000000000000000e+04
4.993970000000000198e+01,3.807800000000000000e+04
5.228179999999999694e+01,3.792200000000000000e+04
5.555729999999999791e+01,3.825400000000000000e+04
5.865209999999999724e+01,3.837200000000000000e+04
6.222549999999999670e+01,3.880400000000000000e+04
6.650570000000000448e+01,3.743200000000000000e+04
6.921290000000000475e+01,3.628800000000000000e+04
7.204840000000000089e+01,3.598000000000000000e+04
7.559510000000000218e+01,3.597000000000000000e+04
7.893330000000000268e+01,2.894800000000000000e+04
8.683559999999999945e+01,3.472000000000000000e+04
8.843309999999999604e+01,3.467600000000000000e+04
9.006109999999999616e+01,3.448400000000000000e+04
9.177899999999999636e+01,3.444800000000000000e+04
9.357470000000000709e+01,3.452000000000000000e+04
