session,file,kind,width,nlines,npix,rms_counts,r_pos,se_pos,r_time,se_time
2026-09-17-bench,scan_slow_1.csv,scan,narrow +-400,12,21,86,-0.3147,0.1689,-0.4830,0.1523
2026-09-17-bench,scan_slow_2.csv,scan,narrow +-400,12,21,91,-0.1860,0.0674,0.0577,0.1159
2026-09-17-bench,scan_fast_1.csv,scan,narrow +-400,12,21,43,0.0767,0.1364,-0.0096,0.1882
2026-09-17-bench,scan_fast_2.csv,scan,narrow +-400,12,21,32,0.0165,0.0827,0.1911,0.0830
2026-09-17-bench,scan_fast_3.csv,scan,narrow +-400,12,21,32,0.0413,0.1360,-0.1178,0.2024
2026-09-17-bench,scan_fast_4.csv,scan,narrow +-400,12,21,29,-0.0884,0.1460,0.0233,0.1913
2026-09-17-bench,diag_scan_normal_1.csv,scan,narrow +-400,8,21,133,0.1729,0.1867,0.0838,0.1596
2026-09-17-bench,diag_scan_normal_2.csv,scan,narrow +-400,8,21,57,0.0676,0.0915,-0.0855,0.1175
2026-09-17-bench,diag_scan_x_held.csv,XHELD,narrow +-400,8,21,87,0.1703,0.1180,0.1901,0.1564
2026-09-17-bench,scan_slow_dwell_1.csv,scan,narrow +-400,7,9,30,-0.4891,0.2215,-0.4354,0.1825
2026-09-17-bench,scan_slow_dwell_2.csv,scan,narrow +-400,7,9,43,0.0531,0.1905,0.3008,0.1424
2026-09-17-bench,scan_wide_25nm_1.csv,scan,wide +-15000,9,21,436,-0.0359,0.1760,-0.0967,0.1915
2026-09-17-bench,scan_wide_25nm_2.csv,scan,wide +-15000,9,21,458,-0.0457,0.1508,-0.0660,0.1671
2026-09-17-bench,scan_wide_slow_1.csv,scan,mid +-4000,5,21,105,0.0259,0.1859,-0.3530,0.2716
2026-09-17-bench,scan_wide_slow_2.csv,scan,mid +-4000,5,21,198,-0.0292,0.1694,-0.1751,0.1052
2026-09-19-bench,cas9_scan0.csv,scan,narrow +-1500,11,21,82,-0.0822,0.2469,-0.0768,0.1622
2026-09-19-bench,cas9_scan1.csv,scan,narrow +-1500,11,21,126,0.5471,0.1380,-0.1167,0.2428
2026-09-19-bench,cas9_scan2.csv,scan,narrow +-1500,11,21,147,-0.6115,0.1600,-0.6853,0.1508
2026-09-19-bench,cas9_scan3.csv,scan,narrow +-1500,11,21,101,-0.0851,0.2689,0.0739,0.2652
2026-09-19-bench,cas9_xheld0.csv,XHELD,narrow +-1500,11,21,82,-0.4968,0.1677,-0.4533,0.1574
2026-09-19-bench,cas9_xheld1.csv,XHELD,narrow +-1500,11,21,41,-0.0389,0.2854,-0.1194,0.2460
2026-09-19-bench,cas9_xheld2.csv,XHELD,narrow +-1500,1,21,237,0.1219,nan,-0.7964,nan
2026-09-19-bench,cas9_xheld3.csv,XHELD,narrow +-1500,11,21,59,0.3874,0.1610,-0.1372,0.2095
2026-09-19-bench,img_scan_0.csv,scan,wide +-15000,1,21,382,-0.9369,nan,-0.7750,nan
2026-09-19-bench,img_scan_1.csv,scan,wide +-15000,2,21,438,-0.9166,0.0350,-0.3960,0.4316
2026-09-19-bench,img_scan_2.csv,scan,wide +-15000,11,21,416,-0.8543,0.0577,-0.2009,0.3213
2026-09-19-bench,img_xheld_0.csv,XHELD,wide +-15000,11,21,181,0.2406,0.2669,-0.3647,0.3352
2026-09-19-bench,img_xheld_1.csv,XHELD,wide +-15000,11,21,133,0.1531,0.2175,0.0129,0.3066
2026-09-19-morning,tuned_s3k_scan0.csv,scan,mid +-3000 tuned,1,21,1885,0.2469,nan,0.5197,nan
2026-09-19-morning,tuned_s3k_scan1.csv,scan,mid +-3000 tuned,8,21,1183,-0.1101,0.1607,0.2692,0.2136
2026-09-19-morning,tuned_s3k_scan2.csv,scan,mid +-3000 tuned,9,21,1310,-0.5052,0.0896,-0.4043,0.1036
2026-09-19-morning,tuned_s3k_xheld0.csv,XHELD,mid +-3000 tuned,2,21,1373,-0.1451,0.0599,-0.2014,0.1360
2026-09-19-morning,tuned_s3k_xheld1.csv,XHELD,mid +-3000 tuned,8,21,921,0.4607,0.1089,0.0967,0.2727
2026-09-19-morning,tuned_s3k_xheld2.csv,XHELD,mid +-3000 tuned,9,21,970,0.0779,0.1312,-0.1296,0.1764
POOLED,mid +-3000 tuned,XHELD,,3,19,,0.2297,0.0965,-0.0424,0.1416
POOLED,mid +-3000 tuned,scan,,3,18,,-0.3034,0.0999,-0.0597,0.1464
POOLED,mid +-4000,scan,,2,10,,-0.0017,0.1190,-0.2663,0.1470
POOLED,narrow +-1500,XHELD,,4,34,,-0.0530,0.1441,-0.2670,0.1170
POOLED,narrow +-1500,scan,,4,44,,-0.0661,0.1373,-0.2353,0.1225
POOLED,narrow +-400,XHELD,,1,8,,0.1703,0.1180,0.1901,0.1564
POOLED,narrow +-400,scan,,10,102,,-0.0690,0.0493,-0.0556,0.0576
POOLED,wide +-15000,XHELD,,2,22,,0.1972,0.1693,-0.1827,0.2365
POOLED,wide +-15000,scan,,5,32,,-0.5453,0.1063,-0.1726,0.1329
