t,phase,z,bias,value
0.5548,baseline,10000,38229,32767
0.5552,baseline,10000,38229,32767
0.5557,baseline,10000,38229,32767
0.5561,baseline,10000,38229,32767
0.5565,baseline,10000,38229,32767
0.5569,baseline,10000,38229,32767
0.5573,baseline,10000,38229,32767
0.5577,baseline,10000,38229,32767
0.5583,baseline,10000,38229,32767
0.5588,baseline,10000,38229,32767
0.5596,baseline,10000,38229,32767
0.5603,baseline,10000,38229,32767
0.5607,baseline,10000,38229,32767
0.5612,baseline,10000,38229,32767
0.5616,baseline,10000,38229,32767
0.5619,baseline,10000,38229,32767
0.5623,baseline,10000,38229,32767
0.5628,baseline,10000,38229,32767
0.5632,baseline,10000,38229,32767
0.5636,baseline,10000,38229,32767
0.5641,baseline,10000,38229,32767
0.5645,baseline,10000,38229,32767
0.5649,baseline,10000,38229,32767
0.5655,baseline,10000,38229,32767
0.566,baseline,10000,38229,32767
0.5664,baseline,10000,38229,32767
0.5669,baseline,10000,38229,32767
0.5674,baseline,10000,38229,32767
0.5679,baseline,10000,38229,32767
0.5683,baseline,10000,38229,32767
0.5687,baseline,10000,38229,32767
0.569,baseline,10000,38229,32767
0.5695,baseline,10000,38229,32767
0.5698,baseline,10000,38229,32767
0.5701,baseline,10000,38229,32767
0.5705,baseline,10000,38229,32767
0.5708,baseline,10000,38229,32767
0.5711,baseline,10000,38229,32767
0.5714,baseline,10000,38229,32767
0.5717,baseline,10000,38229,32767
0.5721,baseline,10000,38229,32767
0.5724,baseline,10000,38229,32767
0.5728,baseline,10000,38229,32767
0.5731,baseline,10000,38229,32767
0.5734,baseline,10000,38229,32767
0.5737,baseline,10000,38229,32767
0.574,baseline,10000,38229,32767
0.5744,baseline,10000,38229,32767
0.5747,baseline,10000,38229,32767
0.575,baseline,10000,38229,32767
0.5752,baseline,10000,38229,32767
0.5755,baseline,10000,38229,32767
0.5758,baseline,10000,38229,32767
0.5761,baseline,10000,38229,32767
0.5764,baseline,10000,38229,32767
0.5769,baseline,10000,38229,32767
0.5777,baseline,10000,38229,32767
0.578,baseline,10000,38229,32767
