t,onset_z,motor_adj
0.53,42000,0
1.14,None,0
1.55,33250,0
2.04,38500,0
2.24,16750,0
2.43,15000,0
2.65,17500,0
2.93,22000,0
3.54,None,0
3.94,32750,0
4.56,None,0
4.97,33750,0
5.14,12000,0
5.74,None,0
6.2,37500,0
6.37,12750,0
6.98,None,0
7.45,37500,0
8.05,None,0
8.65,None,0
9.26,None,0
9.85,None,0
9.98,10250,0
10.58,None,0
10.71,10500,0
10.83,10000,0
10.97,11500,0
11.57,None,0
12.03,37000,0
12.13,8250,0
12.74,None,0
12.87,9500,0
13.48,None,0
13.65,13500,0
14.24,None,0
14.34,7250,0
14.45,9000,0
14.59,12000,0
15.17,None,0
15.64,38000,0
15.82,14750,0
16.28,37000,0
16.48,14500,0
16.67,14750,0
16.85,14750,0
17.4,None,0
17.53,11500,0
17.68,13000,0
17.85,14250,0
18.01,14500,0
18.16,13750,0
18.6,36000,0
19.05,37000,0
19.29,19750,0
19.63,27000,0
20.14,44250,0
20.75,None,0
20.92,14250,0
21.14,16750,0
21.58,34500,0
22.0,33750,0
22.19,15250,0
22.38,15250,0
22.6,16500,0
23.13,44000,0
23.74,None,0
24.35,None,0
24.5,12000,0
25.1,None,0
25.69,None,0
25.95,22000,0
26.27,27000,0
26.49,17000,0
27.1,None,0
27.7,None,0
27.93,19250,0
28.38,36750,0
28.81,35250,0
29.24,35250,0
29.69,37000,0
30.11,35500,0
30.43,26250,0
30.67,19500,0
31.14,38250,0
31.74,None,0
32.21,37750,0
32.66,37750,0
33.12,37500,0
33.58,37000,0
34.02,37000,0
34.32,23500,0
34.61,23250,0
34.9,23500,0
35.14,19750,0
35.41,21500,0
35.64,19250,0
35.89,20000,0
36.09,15750,0
36.3,17250,0
36.57,21500,0
36.84,22000,0
37.1,20500,0
37.37,20500,0
37.62,20000,0
37.87,20000,0
38.13,20750,0
38.58,37000,0
38.78,16000,0
39.17,31500,0
39.45,22000,0
39.9,37250,0
40.16,22750,0
40.61,37250,0
41.1,40250,0
41.55,37000,0
42.0,37250,0
42.48,37250,0
42.83,29500,0
43.28,37000,0
43.72,37000,0
43.92,16000,0
44.33,33250,0
44.78,37250,0
45.17,32000,0
45.79,None,0
46.09,23250,0
46.51,33500,0
47.12,None,0
47.45,27250,0
47.85,33500,0
48.17,25750,0
48.5,26250,0
48.82,25750,0
49.43,None,0
49.67,19250,0
50.1,34750,0
50.34,20500,0
50.77,35000,0
51.07,24500,0
51.31,18500,0
51.63,25750,0
51.84,17750,0
52.11,21500,0
52.33,18250,0
52.55,17500,0
52.88,26750,0
53.13,20250,0
53.54,33750,0
53.79,20750,0
54.01,20000,0
54.26,21000,0
54.47,17250,0
54.69,17500,0
55.03,28250,0
55.24,17500,0
55.54,21750,0
55.81,21500,0
56.06,20000,0
56.28,17500,0
56.51,18500,0
56.86,28250,0
57.16,23000,0
57.43,22000,0
57.65,20750,0
57.87,19250,0
58.11,19250,0
58.4,23000,0
58.63,18500,0
58.88,20750,0
59.12,20750,0
59.38,20000,0
59.63,20500,0
59.86,18500,0
60.12,20750,0
60.37,21000,0
60.65,22750,0
60.9,19000,0
61.16,20500,0
61.42,20500,0
61.67,19500,0
61.98,21750,0
62.24,19750,0
62.5,20250,0
62.93,35250,0
63.21,22000,0
63.46,20750,0
63.7,19250,0
63.98,22750,0
64.24,21000,0
64.53,22750,0
64.8,22250,0
65.09,22500,0
65.37,22750,0
65.66,22500,0
65.95,23250,0
66.24,22750,0
66.51,22000,0
66.76,20750,0
67.22,37750,0
67.51,22750,0
67.76,20750,0
68.18,35500,0
68.48,25250,0
68.76,21250,0
69.03,20750,0
69.31,22250,0
69.61,22750,0
69.9,23250,0
70.34,35250,0
70.59,22750,0
70.88,23000,0
71.2,23750,0
71.48,22500,0
71.7,18500,0
71.95,20000,0
72.23,23000,0
72.51,22750,0
72.93,35250,0
73.21,22500,0
73.5,23000,0
73.92,35250,0
74.33,33250,0
74.59,21750,0
74.87,23250,0
75.23,29500,0
75.52,22500,0
75.79,22500,0
76.07,22250,0
76.34,22750,0
76.63,22750,0
76.91,23500,0
77.26,29750,0
77.6,28250,0
77.95,28250,0
78.23,22500,0
78.52,23000,0
78.88,30000,0
79.24,29750,0
79.51,21500,0
79.81,23500,0
80.09,21500,0
80.38,22250,0
80.64,22500,0
80.99,29750,0
81.25,21750,0
81.51,21000,0
81.77,22500,0
82.05,21250,0
82.35,22500,0
82.62,22000,0
82.98,29750,0
83.37,30500,0
83.63,21000,0
83.89,21250,0
84.15,20750,0
84.49,27750,0
84.74,20750,0
85.04,22250,0
85.43,30750,0
85.71,22250,0
85.96,21250,0
86.3,27500,0
86.56,20750,0
86.84,22250,0
87.11,22500,0
87.37,20500,0
87.63,22500,0
87.91,23500,0
88.14,22250,0
88.41,22000,0
88.71,24000,0
89.01,22750,0
89.3,21750,0
89.65,27750,0
89.92,22500,0
90.19,21750,0
