t,tag,z,mean
02:09:00,p0_s4,31900,8534
02:09:00,p0_s4,31925,11512
02:09:01,p0_s5,2650,4635
02:09:01,p0_s5,2675,17802
02:09:02,p1_s0,27400,4033
02:09:02,p1_s0,27425,1091
02:09:02,p1_s0,27450,6556
02:09:02,p1_s0,27475,14661
02:09:03,p1_s1,35400,4498
02:09:03,p1_s1,35425,7370
02:09:03,p1_s1,35450,15329
02:09:04,p1_s2,34150,4022
02:09:04,p1_s2,34175,6253
02:09:04,p1_s2,34200,1540
02:09:04,p1_s2,34225,8066
02:09:04,p1_s2,34250,7121
02:09:04,p1_s2,34275,13012
02:09:07,p1_s5,15400,757
02:09:07,p1_s5,15425,11937
02:09:07,p1_s6,1150,3865
02:09:07,p1_s6,1175,8370
02:09:07,p1_s6,1200,28397
02:09:08,p2_s0,22400,2329
02:09:08,p2_s0,22425,-86
02:09:08,p2_s0,22450,70
02:09:08,p2_s0,22475,1440
02:09:08,p2_s0,22500,9
02:09:08,p2_s0,22525,506
02:09:08,p2_s0,22550,2720
02:09:08,p2_s0,22575,4596
02:09:08,p2_s0,22600,6571
02:09:08,p2_s0,22625,21330
02:09:09,p2_s1,29400,3625
02:09:09,p2_s1,29425,991
02:09:09,p2_s1,29450,5544
02:09:09,p2_s1,29475,12290
02:09:10,p2_s2,32150,5514
02:09:10,p2_s2,32175,625
02:09:10,p2_s2,32200,7158
02:09:10,p2_s2,32225,10997
02:09:11,p2_s3,29400,12125
02:09:12,p2_s4,31150,13610
02:09:13,p2_s5,34150,19847
02:09:13,p2_s6,0,32767
