t,axis,amp,i_minus,i_plus
1789786276.91,Z,2000,2558.0,2501.0
1789786276.921,Z,2000,1057.5,2393.0
1789786276.931,Z,2000,2362.0,23.0
1789786276.942,Z,2000,-7.0,49.0
1789786276.953,Z,2000,-16.0,1165.5
1789786276.964,Z,2000,49.5,48.5
1789786276.975,Z,2000,42.5,-27.0
1789786276.988,Z,2000,1450.0,2499.5
1789786276.999,Z,2000,2450.5,2454.5
1789786277.01,Z,2000,2316.5,-23.5
1789786277.022,Z,2000,5.0,64.5
1789786277.034,Z,2000,9.0,-14.0
1789786277.046,Z,2000,14.0,-22.0
1789786277.06,Z,2000,36.5,8.0
1789786277.072,Z,2000,24.5,23.5
1789786277.084,Z,2000,2.5,-2.0
1789786277.095,Z,2000,16.5,33.0
1789786277.107,Z,2000,-26.5,-25.5
1789786277.118,Z,2000,-35.0,17.5
1789786277.13,Z,2000,21.5,-29.0
1789786277.142,Z,2000,443.5,241.5
1789786277.154,Z,2000,19.5,36.0
1789786277.165,Z,2000,2554.0,3.0
1789786277.178,Z,2000,2440.5,1855.0
1789786277.19,Z,2000,1280.5,469.0
1789786277.202,Z,2000,2587.0,922.5
1789786277.213,Z,2000,2510.5,-33.0
1789786277.225,Z,2000,-0.5,12.5
1789786277.237,Z,2000,38.5,-11.5
1789786277.248,Z,2000,16.5,38.5
1789786277.265,Z,8000,-32.5,27.5
1789786277.277,Z,8000,-19.5,3.0
1789786277.289,Z,8000,13.5,14.0
1789786277.301,Z,8000,-11.5,10.5
1789786277.313,Z,8000,6.5,12.0
1789786277.324,Z,8000,-5.0,22.5
1789786277.336,Z,8000,35.5,24.5
1789786277.348,Z,8000,4.5,-55.0
1789786277.359,Z,8000,-33.5,-50.0
1789786277.37,Z,8000,-20.5,48.0
1789786277.381,Z,8000,-2.0,-23.5
1789786277.392,Z,8000,1.0,20.5
1789786277.403,Z,8000,-28.5,-23.5
1789786277.414,Z,8000,1306.5,12.0
1789786277.424,Z,8000,-0.5,-8.0
1789786277.434,Z,8000,-3.5,30.0
1789786277.444,Z,8000,11.5,-11.5
1789786277.454,Z,8000,18.0,1.5
1789786277.465,Z,8000,2.0,-52.0
1789786277.476,Z,8000,46.0,-20.0
1789786277.488,Z,8000,44.5,-13.0
1789786277.499,Z,8000,-36.0,-26.0
1789786277.509,Z,8000,-2.0,-11.5
1789786277.52,Z,8000,13.5,-18.0
1789786277.531,Z,8000,-14.0,-21.0
1789786277.542,Z,8000,-28.0,16.0
1789786277.553,Z,8000,61.5,-62.5
1789786277.564,Z,8000,59.5,-12.0
1789786277.575,Z,8000,-6.5,-10.5
1789786277.585,Z,8000,-25.0,-2.5
1789786277.599,Z,20000,47.5,8.0
1789786277.61,Z,20000,-0.5,19.5
1789786277.621,Z,20000,2.0,1.5
1789786277.632,Z,20000,74.5,65.0
1789786277.643,Z,20000,1.5,-30.5
1789786277.654,Z,20000,8.0,-1.0
1789786277.664,Z,20000,28.0,881.5
1789786277.675,Z,20000,48.0,-9.5
1789786277.686,Z,20000,378.0,63.5
1789786277.696,Z,20000,-10.5,30.0
1789786277.707,Z,20000,47.0,6.5
1789786277.717,Z,20000,18.0,4.5
1789786277.727,Z,20000,55.0,2.5
1789786277.738,Z,20000,-26.5,-3.5
1789786277.748,Z,20000,-19.5,47.0
1789786277.761,Z,20000,101.5,21.5
1789786277.771,Z,20000,10.0,-58.0
1789786277.783,Z,20000,-20.0,-11.5
1789786277.794,Z,20000,-13.5,-10.0
1789786277.805,Z,20000,62.0,2769.5
1789786277.815,Z,20000,16.5,3.5
1789786277.826,Z,20000,54.5,27.5
1789786277.837,Z,20000,18.5,24.5
1789786277.848,Z,20000,10.0,51.5
1789786277.859,Z,20000,4.5,7.5
1789786277.87,Z,20000,-1.5,100.0
1789786277.881,Z,20000,-18.0,46.0
1789786277.892,Z,20000,3.0,24.5
1789786277.903,Z,20000,56.0,29.5
1789786277.914,Z,20000,34.5,20.5
1789786277.929,X,5000,-22.5,-25.5
1789786277.94,X,5000,21.0,29.5
1789786277.95,X,5000,6.0,-17.5
1789786277.961,X,5000,27.5,-7.5
1789786277.972,X,5000,17.0,-25.5
1789786277.983,X,5000,-24.0,-34.0
1789786277.995,X,5000,29.0,-14.5
1789786278.006,X,5000,149.5,-5.0
1789786278.016,X,5000,45.0,5.5
1789786278.028,X,5000,-37.5,-19.0
1789786278.038,X,5000,2.0,-13.0
1789786278.049,X,5000,-2.0,-49.5
1789786278.06,X,5000,-2.5,-3.0
1789786278.071,X,5000,-29.5,25.0
1789786278.082,X,5000,-30.0,-8.0
1789786278.093,X,5000,-11.5,-13.5
1789786278.103,X,5000,19.0,2.5
1789786278.114,X,5000,-7.0,-15.0
1789786278.125,X,5000,-8.0,-4.5
1789786278.137,X,5000,10.0,-4.0
1789786278.148,X,5000,-18.0,-24.5
1789786278.16,X,5000,1.5,-28.0
1789786278.172,X,5000,-8.0,18.0
1789786278.185,X,5000,-24.5,-15.0
1789786278.197,X,5000,-12.5,-46.0
1789786278.209,X,5000,-9.0,18.5
1789786278.222,X,5000,-30.5,-13.0
1789786278.234,X,5000,-22.0,-29.5
1789786278.245,X,5000,45.0,-10.5
1789786278.257,X,5000,57.5,-44.0
1789786278.273,X,15000,268.5,43.0
1789786278.284,X,15000,31.5,31.0
1789786278.296,X,15000,33.0,174.5
1789786278.307,X,15000,36.5,-13.0
1789786278.317,X,15000,10.5,2.0
1789786278.328,X,15000,-15.0,-1.5
1789786278.339,X,15000,-6.5,74.5
1789786278.35,X,15000,43.0,28.0
1789786278.361,X,15000,1217.5,14.0
