t,tag,z,bias,value
0.24241,rec,0,38229,1130
0.24282,rec,0,38229,1025
0.24323,rec,0,38229,1159
0.2437,rec,0,38229,1126
0.24407,rec,0,38229,1146
0.24454,rec,0,38229,1128
0.24493,rec,0,38229,1191
0.24537,rec,0,38229,1049
0.24577,rec,0,38229,1111
0.24623,rec,0,38229,1140
0.24671,rec,0,38229,1148
0.2472,rec,0,38229,1138
0.24767,rec,0,38229,1068
0.24807,rec,0,38229,1180
0.24851,rec,0,38229,1125
0.24906,rec,0,38229,1139
0.24959,rec,0,38229,1121
0.25013,rec,0,38229,1200
0.2507,rec,0,38229,1107
0.25122,rec,0,38229,1090
0.25171,rec,0,38229,1079
0.25221,rec,0,38229,1092
0.25273,rec,0,38229,1102
0.25312,rec,0,38229,1218
0.25353,rec,0,38229,1087
0.25388,rec,0,38229,1201
0.25421,rec,0,38229,1167
0.25458,rec,0,38229,1164
0.25487,rec,0,38229,1116
0.25513,rec,0,38229,1148
0.25542,rec,0,38229,1191
0.25573,rec,0,38229,1148
0.25602,rec,0,38229,1114
0.25632,rec,0,38229,1058
0.25662,rec,0,38229,1133
0.25689,rec,0,38229,1114
0.25716,rec,0,38229,1180
0.25751,rec,0,38229,1147
0.25779,rec,0,38229,1177
0.25811,rec,0,38229,1105
0.25842,rec,0,38229,1043
0.25874,rec,0,38229,1121
0.25907,rec,0,38229,1094
0.25937,rec,0,38229,1063
0.26005,rec,0,38229,1071
0.26042,rec,0,38229,1091
0.2608,rec,0,38229,1120
0.26116,rec,0,38229,1129
0.2615,rec,0,38229,1166
0.26182,rec,0,38229,1113
0.26211,rec,0,38229,1152
0.26244,rec,0,38229,1119
0.26276,rec,0,38229,1076
0.2631,rec,0,38229,1088
0.26343,rec,0,38229,1098
0.26375,rec,0,38229,1151
0.26406,rec,0,38229,1122
0.26434,rec,0,38229,1106
0.26465,rec,0,38229,1119
0.26496,rec,0,38229,1163
0.26528,rec,0,38229,1147
0.2656,rec,0,38229,1146
0.26592,rec,0,38229,1102
0.26623,rec,0,38229,1123
0.26655,rec,0,38229,1128
0.26684,rec,0,38229,1058
0.26715,rec,0,38229,1139
0.26747,rec,0,38229,1063
0.26776,rec,0,38229,1157
0.26806,rec,0,38229,1081
0.26834,rec,0,38229,1161
0.26866,rec,0,38229,1147
0.26897,rec,0,38229,1113
0.26926,rec,0,38229,1064
0.2696,rec,0,38229,1090
0.26988,rec,0,38229,1092
0.27022,rec,0,38229,1063
0.27051,rec,0,38229,1122
0.27084,rec,0,38229,1131
0.27115,rec,0,38229,1175
0.27146,rec,0,38229,1100
0.27177,rec,0,38229,1142
0.27208,rec,0,38229,1131
0.27235,rec,0,38229,1144
0.27262,rec,0,38229,1131
0.27291,rec,0,38229,1114
0.27321,rec,0,38229,1099
0.27352,rec,0,38229,1095
0.27378,rec,0,38229,1028
0.27412,rec,0,38229,1064
0.27445,rec,0,38229,1091
0.27473,rec,0,38229,1062
0.27504,rec,0,38229,1080
0.27535,rec,0,38229,1116
0.27562,rec,0,38229,1046
0.27588,rec,0,38229,1043
0.27621,rec,0,38229,1075
0.27651,rec,0,38229,1124
0.27679,rec,0,38229,1095
0.27712,rec,0,38229,1113
0.27738,rec,0,38229,1086
0.27767,rec,0,38229,1063
0.27798,rec,0,38229,1047
0.27832,rec,0,38229,1055
0.27859,rec,0,38229,1052
0.2789,rec,0,38229,1040
0.27921,rec,0,38229,1078
0.27952,rec,0,38229,1087
0.27983,rec,0,38229,1016
0.28014,rec,0,38229,1082
0.28045,rec,0,38229,1060
0.28074,rec,0,38229,1102
0.28103,rec,0,38229,1009
0.28133,rec,0,38229,1043
0.2816,rec,0,38229,1068
0.28189,rec,0,38229,1108
0.2822,rec,0,38229,1001
0.28248,rec,0,38229,1069
0.28277,rec,0,38229,1111
0.28307,rec,0,38229,1122
0.28337,rec,0,38229,1141
0.28365,rec,0,38229,1076
