t,tag,z,bias,value
0.2573,z0_s0,0,38229,2147
0.2579,z0_s0,0,38229,2064
0.2584,z0_s0,0,38229,2094
0.2589,z0_s0,0,38229,2037
0.2595,z0_s0,0,38229,2097
0.2601,z0_s0,0,38229,2125
0.2606,z0_s0,0,38229,2032
0.2611,z0_s0,0,38229,2131
0.2616,z0_s0,0,38229,2123
0.2622,z0_s0,0,38229,2070
0.2627,z0_s0,0,38229,2058
0.2632,z0_s0,0,38229,1986
0.2637,z0_s0,0,38229,2045
0.2642,z0_s0,0,38229,2093
0.2648,z0_s0,0,38229,2151
0.2654,z0_s0,0,38229,2152
0.2659,z0_s0,0,38229,2012
0.2664,z0_s0,0,38229,1957
0.2669,z0_s0,0,38229,1978
0.2674,z0_s0,0,38229,2103
0.2679,z0_s0,0,38229,2021
0.2684,z0_s0,0,38229,1955
0.2688,z0_s0,0,38229,2072
0.2692,z0_s0,0,38229,2116
0.2698,z0_s0,0,38229,2057
0.2705,z0_s0,0,38229,2101
0.2709,z0_s0,0,38229,1991
0.2713,z0_s0,0,38229,2054
0.2716,z0_s0,0,38229,2126
0.272,z0_s0,0,38229,2017
0.2724,z0_s0,0,38229,2061
0.2728,z0_s0,0,38229,2102
0.2731,z0_s0,0,38229,2138
0.2734,z0_s0,0,38229,2136
0.2738,z0_s0,0,38229,2107
0.2741,z0_s0,0,38229,1962
0.2745,z0_s0,0,38229,2070
0.2749,z0_s0,0,38229,2106
0.2753,z0_s0,0,38229,2101
0.2755,z0_s0,0,38229,2047
0.2759,z0_s0,0,38229,2017
0.2764,z0_s0,0,38229,1987
0.2767,z0_s0,0,38229,2055
0.277,z0_s0,0,38229,2148
0.2772,z0_s0,0,38229,2096
0.2775,z0_s0,0,38229,2152
0.2778,z0_s0,0,38229,2144
0.2781,z0_s0,0,38229,2179
0.2784,z0_s0,0,38229,2132
0.2787,z0_s0,0,38229,2154
0.279,z0_s0,0,38229,2107
0.2793,z0_s0,0,38229,2074
0.2796,z0_s0,0,38229,2061
0.2799,z0_s0,0,38229,2093
0.2802,z0_s0,0,38229,2137
0.2805,z0_s0,0,38229,2146
0.2809,z0_s0,0,38229,2148
0.2812,z0_s0,0,38229,2136
0.2815,z0_s0,0,38229,2081
0.2818,z0_s0,0,38229,2176
0.2821,z0_s0,0,38229,2068
0.2824,z0_s0,0,38229,2218
0.2828,z0_s0,0,38229,2144
0.283,z0_s0,0,38229,2130
0.2864,sw_s0,0,38229,2042
0.287,sw_s0,0,38229,2073
0.2874,sw_s0,0,38229,2004
0.2879,sw_s0,0,38229,2034
0.2884,sw_s0,0,38229,2104
0.2888,sw_s0,0,38229,2123
0.2893,sw_s0,0,38229,2100
0.2899,sw_s0,0,38229,2084
0.2903,sw_s0,0,38229,2014
0.2908,sw_s0,0,38229,2091
0.2912,sw_s0,0,38229,2035
0.2916,sw_s0,0,38229,1990
0.292,sw_s0,0,38229,2044
0.2924,sw_s0,0,38229,2028
0.2927,sw_s0,0,38229,2151
0.293,sw_s0,0,38229,1966
0.2934,sw_s0,0,38229,2005
0.2937,sw_s0,0,38229,2010
0.2941,sw_s0,0,38229,2061
0.2944,sw_s0,0,38229,2046
0.2948,sw_s0,0,38229,2092
0.2952,sw_s0,0,38229,1999
0.2955,sw_s0,0,38229,2021
0.2959,sw_s0,0,38229,2128
1.1218,z0_s1,0,38229,1659
1.1225,z0_s1,0,38229,1670
1.1232,z0_s1,0,38229,1629
1.1238,z0_s1,0,38229,1744
1.1243,z0_s1,0,38229,1700
1.1248,z0_s1,0,38229,1775
1.1254,z0_s1,0,38229,1884
1.1259,z0_s1,0,38229,1859
1.1264,z0_s1,0,38229,1850
1.1268,z0_s1,0,38229,2012
1.1273,z0_s1,0,38229,1889
1.1278,z0_s1,0,38229,1917
1.1282,z0_s1,0,38229,1945
1.1286,z0_s1,0,38229,2027
1.129,z0_s1,0,38229,1926
1.1295,z0_s1,0,38229,1965
1.1304,z0_s1,0,38229,1941
1.1311,z0_s1,0,38229,1932
1.1316,z0_s1,0,38229,1943
1.132,z0_s1,0,38229,2034
1.1323,z0_s1,0,38229,1861
1.1327,z0_s1,0,38229,1932
1.1332,z0_s1,0,38229,1933
1.1337,z0_s1,0,38229,1916
1.1342,z0_s1,0,38229,2011
1.1347,z0_s1,0,38229,1835
1.1352,z0_s1,0,38229,1909
1.1357,z0_s1,0,38229,1851
1.1362,z0_s1,0,38229,1692
1.1367,z0_s1,0,38229,1802
1.1371,z0_s1,0,38229,1704
1.1374,z0_s1,0,38229,1893
1.1378,z0_s1,0,38229,1913
1.1381,z0_s1,0,38229,1710
1.1384,z0_s1,0,38229,1725
1.1387,z0_s1,0,38229,1603
1.139,z0_s1,0,38229,1635
1.1393,z0_s1,0,38229,1585
1.1396,z0_s1,0,38229,1621
1.14,z0_s1,0,38229,1750
1.1403,z0_s1,0,38229,1751
1.1406,z0_s1,0,38229,1689
1.141,z0_s1,0,38229,1702
1.1414,z0_s1,0,38229,1800
1.1417,z0_s1,0,38229,1763
1.1421,z0_s1,0,38229,1705
1.1425,z0_s1,0,38229,1693
1.1428,z0_s1,0,38229,1758
1.1432,z0_s1,0,38229,1930
1.1435,z0_s1,0,38229,1807
1.1439,z0_s1,0,38229,1852
1.1443,z0_s1,0,38229,1823
1.1446,z0_s1,0,38229,1861
1.1449,z0_s1,0,38229,1886
1.1452,z0_s1,0,38229,1764
1.1455,z0_s1,0,38229,1724
1.1458,z0_s1,0,38229,1840
1.1462,z0_s1,0,38229,1891
1.1468,z0_s1,0,38229,1939
1.1472,z0_s1,0,38229,1891
1.1476,z0_s1,0,38229,1927
1.1479,z0_s1,0,38229,1767
1.1482,z0_s1,0,38229,1689
1.1486,z0_s1,0,38229,1704
1.1514,sw_s1,0,38229,1603
1.1517,sw_s1,0,38229,1617
1.152,sw_s1,0,38229,1662
1.1523,sw_s1,0,38229,1626
1.1526,sw_s1,0,38229,1692
1.1529,sw_s1,0,38229,1682
1.1532,sw_s1,0,38229,1659
1.1535,sw_s1,0,38229,1585
1.1538,sw_s1,0,38229,1628
1.1542,sw_s1,0,38229,1709
1.1545,sw_s1,0,38229,1741
1.1548,sw_s1,0,38229,1711
1.1551,sw_s1,0,38229,1759
1.1555,sw_s1,0,38229,1697
1.1558,sw_s1,0,38229,1704
1.1561,sw_s1,0,38229,1676
1.1565,sw_s1,0,38229,1653
1.1569,sw_s1,0,38229,1691
1.1572,sw_s1,0,38229,1668
1.1576,sw_s1,0,38229,1759
1.1579,sw_s1,0,38229,1708
1.1583,sw_s1,0,38229,1736
1.1586,sw_s1,0,38229,1783
1.159,sw_s1,0,38229,1845
1.9821,z0_s2,0,38229,3016
1.9824,z0_s2,0,38229,3030
1.9828,z0_s2,0,38229,3100
1.9831,z0_s2,0,38229,2937
1.9834,z0_s2,0,38229,2958
1.9837,z0_s2,0,38229,3013
1.9841,z0_s2,0,38229,2973
1.9845,z0_s2,0,38229,3041
1.9848,z0_s2,0,38229,3106
1.9851,z0_s2,0,38229,3051
1.9854,z0_s2,0,38229,3065
1.9858,z0_s2,0,38229,2939
1.9862,z0_s2,0,38229,3009
1.9865,z0_s2,0,38229,3117
1.987,z0_s2,0,38229,3226
1.9873,z0_s2,0,38229,3068
1.9877,z0_s2,0,38229,3173
1.9881,z0_s2,0,38229,3010
1.9884,z0_s2,0,38229,2997
1.9888,z0_s2,0,38229,2992
1.9892,z0_s2,0,38229,2946
1.9895,z0_s2,0,38229,3052
1.9898,z0_s2,0,38229,3008
1.9902,z0_s2,0,38229,3077
1.9905,z0_s2,0,38229,3301
1.9908,z0_s2,0,38229,3335
1.9915,z0_s2,0,38229,3260
1.9919,z0_s2,0,38229,3206
1.9923,z0_s2,0,38229,3269
1.9927,z0_s2,0,38229,3293
1.993,z0_s2,0,38229,2926
1.9933,z0_s2,0,38229,3088
1.9936,z0_s2,0,38229,3124
