t,zc,d,i_low,i_high
1789782517.215,22000,1000,58,276
1789782517.228,22000,1000,157,200
1789782517.24,22000,1000,1059,1314
1789782517.253,22000,1000,418,808
1789782517.266,22000,1000,783,335
1789782517.281,22000,1000,495,602
1789782517.295,22000,1000,592,500
1789782517.309,22000,1000,317,631
1789782517.324,22000,1000,368,718
1789782517.338,22000,1000,997,782
1789782517.352,22000,1000,448,287
1789782517.367,22000,1000,545,302
1789782517.381,22000,1000,491,217
1789782517.396,22000,1000,469,248
1789782517.412,22000,1000,1756,32767
1789782517.427,22000,1000,22930,23104
1789782517.442,22000,1000,850,8997
1789782517.457,22000,1000,1113,1145
1789782517.472,22000,1000,218,472
1789782517.487,22000,1000,411,279
1789782517.502,22000,1000,207,300
1789782517.516,22000,1000,231,335
1789782517.53,22000,1000,697,328
1789782517.545,22000,1000,376,255
1789782517.559,22000,1000,437,557
1789782517.571,22000,1000,538,396
1789782517.583,22000,1000,374,336
1789782517.595,22000,1000,531,394
1789782517.608,22000,1000,385,4049
1789782517.622,22000,1000,368,248
1789782517.635,22000,1000,125,223
1789782517.649,22000,1000,330,325
1789782517.662,22000,1000,305,196
1789782517.675,22000,1000,368,200
1789782517.691,22000,1000,228,181
1789782517.705,22000,1000,444,366
1789782517.72,22000,1000,326,365
1789782517.734,22000,1000,302,735
1789782517.748,22000,1000,179,190
1789782517.764,22000,1000,198,333
1789782517.777,22000,1000,255,167
1789782517.792,22000,1000,217,149
1789782517.806,22000,1000,189,163
1789782517.821,22000,1000,198,181
1789782517.837,22000,1000,220,222
1789782517.851,22000,1000,128,189
1789782517.867,22000,1000,193,193
1789782517.882,22000,1000,129,174
1789782517.896,22000,1000,233,165
1789782517.911,22000,1000,201,123
1789782517.926,22000,1000,242,123
1789782517.94,22000,1000,195,153
1789782517.954,22000,1000,173,161
1789782517.969,22000,1000,172,982
1789782517.984,22000,1000,462,349
1789782517.999,22000,1000,240,717
1789782518.014,22000,1000,569,1006
1789782518.029,22000,1000,184,158
1789782518.044,22000,1000,162,433
1789782518.058,22000,1000,1571,4159
1789782518.073,22000,3000,290,32642
1789782518.088,22000,3000,64,1533
1789782518.102,22000,3000,1829,478
1789782518.117,22000,3000,959,579
1789782518.133,22000,3000,8270,635
1789782518.148,22000,3000,32015,492
1789782518.163,22000,3000,437,126
1789782518.177,22000,3000,14744,24114
1789782518.191,22000,3000,76,9306
1789782518.205,22000,3000,9502,3011
1789782518.22,22000,3000,32767,18408
1789782518.234,22000,3000,23048,426
1789782518.249,22000,3000,21472,766
1789782518.265,22000,3000,3524,12852
1789782518.279,22000,3000,26848,619
1789782518.294,22000,3000,2563,92
1789782518.308,22000,3000,32767,107
1789782518.323,22000,3000,7460,240
1789782518.337,22000,3000,9350,26787
1789782518.351,22000,3000,13279,4607
1789782518.365,22000,3000,11794,31141
1789782518.382,22000,3000,13034,6804
1789782518.397,22000,3000,15063,4480
1789782518.413,22000,3000,6839,4004
1789782518.428,22000,3000,1002,30232
1789782518.442,22000,3000,864,32767
1789782518.456,22000,3000,644,32767
1789782518.47,22000,3000,1208,1046
1789782518.484,22000,3000,1633,2953
1789782518.498,22000,3000,29710,8122
1789782518.514,22000,3000,622,12362
1789782518.53,22000,3000,13303,32767
1789782518.544,22000,3000,575,5771
1789782518.558,22000,3000,27388,908
1789782518.572,22000,3000,779,32626
1789782518.584,22000,3000,253,249
1789782518.598,22000,3000,11036,16074
1789782518.612,22000,3000,340,188
1789782518.626,22000,3000,7612,12410
1789782518.64,22000,3000,26680,187
1789782518.654,22000,3000,3344,25526
1789782518.667,22000,3000,16999,2567
1789782518.681,22000,3000,1099,29975
1789782518.695,22000,3000,267,14083
1789782518.71,22000,3000,32767,32767
1789782518.723,22000,3000,6034,11987
1789782518.738,22000,3000,28014,508
1789782518.754,22000,3000,1765,1522
1789782518.769,22000,3000,245,27922
1789782518.783,22000,3000,180,140
1789782518.797,22000,3000,32767,22954
1789782518.812,22000,3000,19595,2583
1789782518.826,22000,3000,10340,719
1789782518.84,22000,3000,443,6355
1789782518.855,22000,3000,837,7428
1789782518.869,22000,3000,257,1541
1789782518.884,22000,3000,250,31483
1789782518.899,22000,3000,416,14873
1789782518.912,22000,3000,190,232
1789782518.927,22000,3000,32767,65
