t,tag,z,bias,value
0.3551,base,0,38229,-71
0.356,base,0,38229,-5
0.3565,base,0,38229,-55
0.357,base,0,38229,-33
0.3577,base,0,38229,-37
0.3583,base,0,38229,-28
0.3587,base,0,38229,66
0.3601,base,0,38229,9
0.3606,base,0,38229,57
0.361,base,0,38229,-31
0.3615,base,0,38229,70
0.3619,base,0,38229,-26
0.3624,base,0,38229,-11
0.3629,base,0,38229,70
0.3633,base,0,38229,-1
0.3637,base,0,38229,25
0.3642,base,0,38229,-47
0.3646,base,0,38229,-26
0.365,base,0,38229,0
0.3655,base,0,38229,-58
0.3658,base,0,38229,-13
0.3663,base,0,38229,-40
0.3668,base,0,38229,-26
0.3671,base,0,38229,-19
0.3675,base,0,38229,-25
0.3679,base,0,38229,17
0.3683,base,0,38229,-24
0.3687,base,0,38229,52
0.369,base,0,38229,-39
0.3695,base,0,38229,-105
0.3699,base,0,38229,1
0.3703,base,0,38229,-65
0.3709,base,0,38229,46
0.3712,base,0,38229,-16
0.3716,base,0,38229,0
0.3721,base,0,38229,-35
0.3725,base,0,38229,-24
0.3728,base,0,38229,-26
0.3731,base,0,38229,10
0.3736,base,0,38229,64
0.374,base,0,38229,-47
0.3745,base,0,38229,40
0.3751,base,0,38229,18
0.3756,base,0,38229,-85
0.3761,base,0,38229,59
0.3764,base,0,38229,-47
0.3767,base,0,38229,-37
0.377,base,0,38229,11
0.3773,base,0,38229,2
0.3777,base,0,38229,18
0.378,base,0,38229,57
0.3784,base,0,38229,-15
0.3788,base,0,38229,36
0.3791,base,0,38229,12
0.3797,base,0,38229,-64
0.3801,base,0,38229,-19
0.3805,base,0,38229,-28
0.3809,base,0,38229,10
0.3812,base,0,38229,-93
0.3816,base,0,38229,0
0.3819,base,0,38229,28
0.3824,base,0,38229,25
0.3827,base,0,38229,9
0.3831,base,0,38229,-7
0.3834,base,0,38229,6
0.3837,base,0,38229,-12
0.384,base,0,38229,12
0.3843,base,0,38229,39
0.3846,base,0,38229,-12
0.3849,base,0,38229,11
0.3851,base,0,38229,62
0.3854,base,0,38229,-34
0.3857,base,0,38229,23
0.386,base,0,38229,54
0.3863,base,0,38229,-21
0.3866,base,0,38229,17
0.3869,base,0,38229,24
0.3872,base,0,38229,-49
0.3875,base,0,38229,-8
0.3878,base,0,38229,43
0.3881,base,0,38229,-13
0.3884,base,0,38229,-6
0.3887,base,0,38229,-36
0.389,base,0,38229,-101
0.3893,base,0,38229,-44
0.3896,base,0,38229,-11
0.3899,base,0,38229,-93
0.3902,base,0,38229,-95
0.3905,base,0,38229,-52
0.3909,base,0,38229,35
0.3914,base,0,38229,-45
0.392,base,0,38229,-1
0.3927,base,0,38229,-63
0.3932,base,0,38229,78
0.3936,base,0,38229,-25
0.394,base,0,38229,20
0.3942,base,0,38229,8
0.3945,base,0,38229,64
0.3948,base,0,38229,-6
0.3951,base,0,38229,30
0.3955,base,0,38229,45
0.3957,base,0,38229,56
0.3961,base,0,38229,22
0.3964,base,0,38229,-43
0.3967,base,0,38229,-65
0.397,base,0,38229,-34
0.3973,base,0,38229,-13
0.3976,base,0,38229,-24
0.3979,base,0,38229,-81
0.3982,base,0,38229,-10
0.3985,base,0,38229,-6
0.3988,base,0,38229,-31
0.3991,base,0,38229,-9
0.3994,base,0,38229,30
0.3997,base,0,38229,-1
0.4,base,0,38229,55
0.4003,base,0,38229,0
0.4006,base,0,38229,-5
0.4009,base,0,38229,-6
0.4012,base,0,38229,13
0.4014,base,0,38229,-18
0.4017,base,0,38229,-39
0.402,base,0,38229,-8
0.4023,base,0,38229,5
0.4026,base,0,38229,-18
0.4029,base,0,38229,-35
0.4032,base,0,38229,-69
0.4034,base,0,38229,-78
0.4037,base,0,38229,-62
0.404,base,0,38229,-21
0.4043,base,0,38229,-93
0.4046,base,0,38229,-54
0.405,base,0,38229,-14
0.4052,base,0,38229,-30
0.4055,base,0,38229,13
0.4058,base,0,38229,16
0.4061,base,0,38229,-15
0.4064,base,0,38229,-16
0.4067,base,0,38229,-3
0.407,base,0,38229,-11
0.4073,base,0,38229,27
0.4077,base,0,38229,38
0.4082,base,0,38229,-37
0.4086,base,0,38229,48
0.409,base,0,38229,-51
0.4094,base,0,38229,28
0.4098,base,0,38229,46
0.4101,base,0,38229,-79
0.4104,base,0,38229,-43
0.4107,base,0,38229,14
0.411,base,0,38229,-22
0.4113,base,0,38229,-25
0.4116,base,0,38229,2
0.4119,base,0,38229,-11
0.4122,base,0,38229,-16
0.4124,base,0,38229,-42
0.4129,base,0,38229,0
0.4133,base,0,38229,-75
0.4138,base,0,38229,8
0.4141,base,0,38229,5
0.4144,base,0,38229,-9
0.4147,base,0,38229,-18
0.415,base,0,38229,-44
0.4153,base,0,38229,-16
0.4156,base,0,38229,11
0.4159,base,0,38229,-40
0.4162,base,0,38229,31
0.4165,base,0,38229,-11
0.4168,base,0,38229,15
0.4171,base,0,38229,4
0.4174,base,0,38229,1
0.4177,base,0,38229,13
0.418,base,0,38229,51
0.4183,base,0,38229,34
0.4186,base,0,38229,9
0.4189,base,0,38229,21
0.4192,base,0,38229,44
0.4195,base,0,38229,13
0.4197,base,0,38229,-5
0.42,base,0,38229,-21
0.4203,base,0,38229,-34
0.4206,base,0,38229,-62
0.4208,base,0,38229,-23
0.4211,base,0,38229,-17
0.4214,base,0,38229,13
0.4217,base,0,38229,-47
0.4219,base,0,38229,-32
0.4222,base,0,38229,73
0.4225,base,0,38229,-14
0.4228,base,0,38229,34
0.4231,base,0,38229,30
0.4233,base,0,38229,-27
0.4236,base,0,38229,-12
0.4241,base,0,38229,-16
0.4246,base,0,38229,-20
0.4252,base,0,38229,-7
0.4256,base,0,38229,14
0.426,base,0,38229,48
0.4264,base,0,38229,-1
0.4267,base,0,38229,-11
0.4271,base,0,38229,15
0.4274,base,0,38229,27
0.4276,base,0,38229,21
0.4279,base,0,38229,59
0.4282,base,0,38229,21
0.4285,base,0,38229,48
0.4288,base,0,38229,16
0.4291,base,0,38229,59
0.4293,base,0,38229,7
0.4296,base,0,38229,0
0.4299,base,0,38229,-42
0.4302,base,0,38229,-22
0.4305,base,0,38229,23
0.4308,base,0,38229,21
0.4311,base,0,38229,-47
0.4313,base,0,38229,-22
0.4316,base,0,38229,-55
0.4318,base,0,38229,78
0.4321,base,0,38229,0
0.4324,base,0,38229,47
0.4327,base,0,38229,-19
0.433,base,0,38229,40
0.4333,base,0,38229,6
0.4336,base,0,38229,9
0.4338,base,0,38229,-12
0.4341,base,0,38229,-15
0.4344,base,0,38229,-20
0.4347,base,0,38229,-61
0.4349,base,0,38229,-15
0.4352,base,0,38229,-19
0.4356,base,0,38229,-24
0.4359,base,0,38229,-9
0.4361,base,0,38229,-23
0.4364,base,0,38229,-12
0.4367,base,0,38229,-28
0.437,base,0,38229,-20
0.4372,base,0,38229,-95
0.4375,base,0,38229,-76
0.4378,base,0,38229,-20
0.4381,base,0,38229,-13
0.4383,base,0,38229,-6
0.4386,base,0,38229,-1
0.4389,base,0,38229,66
0.4392,base,0,38229,1
0.4395,base,0,38229,21
0.4398,base,0,38229,74
0.44,base,0,38229,59
0.4405,base,0,38229,37
0.4409,base,0,38229,-66
0.4414,base,0,38229,-7
0.4419,base,0,38229,49
0.4423,base,0,38229,10
0.4428,base,0,38229,-1
0.4432,base,0,38229,56
0.4435,base,0,38229,0
0.4438,base,0,38229,-64
0.4441,base,0,38229,-34
0.4444,base,0,38229,-29
0.4447,base,0,38229,-25
0.445,base,0,38229,17
0.4452,base,0,38229,30
0.4456,base,0,38229,-30
0.4458,base,0,38229,-24
0.4461,base,0,38229,99
0.4463,base,0,38229,63
0.4466,base,0,38229,2
0.4468,base,0,38229,16
0.4471,base,0,38229,-19
0.4474,base,0,38229,-34
0.4477,base,0,38229,-12
