t,leg,z,mean
1789782603.949,down0,50000,6
1789782603.973,down0,49900,19
1789782603.997,down0,49800,31
1789782604.021,down0,49700,13
1789782604.044,down0,49600,35
1789782604.065,down0,49500,31
1789782604.087,down0,49400,31
1789782604.11,down0,49300,28
1789782604.134,down0,49200,22
1789782604.156,down0,49100,35
1789782604.178,down0,49000,33
1789782604.201,down0,48900,33
1789782604.223,down0,48800,15
1789782604.246,down0,48700,24
1789782604.269,down0,48600,15
1789782604.293,down0,48500,19
1789782604.316,down0,48400,24
1789782604.34,down0,48300,24
1789782604.363,down0,48200,16
1789782604.387,down0,48100,22
1789782604.411,down0,48000,25
1789782604.435,down0,47900,15
1789782604.457,down0,47800,25
1789782604.477,down0,47700,16
1789782604.499,down0,47600,18
1789782604.52,down0,47500,20
1789782604.542,down0,47400,14
1789782604.564,down0,47300,14
1789782604.584,down0,47200,20
1789782604.606,down0,47100,19
1789782604.629,down0,47000,26
1789782604.65,down0,46900,23
1789782604.674,down0,46800,21
1789782604.698,down0,46700,28
1789782604.722,down0,46600,28
1789782604.746,down0,46500,6
1789782604.771,down0,46400,8
1789782604.795,down0,46300,17
1789782604.817,down0,46200,23
1789782604.84,down0,46100,21
1789782604.862,down0,46000,14
1789782604.885,down0,45900,11
1789782604.908,down0,45800,0
1789782604.933,down0,45700,13
1789782604.957,down0,45600,19
1789782604.979,down0,45500,11
1789782605.004,down0,45400,22
1789782605.03,down0,45300,16
1789782605.055,down0,45200,20
1789782605.078,down0,45100,26
1789782605.099,down0,45000,28
1789782605.121,down0,44900,16
1789782605.144,down0,44800,26
1789782605.168,down0,44700,30
1789782605.192,down0,44600,17
1789782605.215,down0,44500,22
1789782605.238,down0,44400,19
1789782605.263,down0,44300,24
1789782605.287,down0,44200,36
1789782605.311,down0,44100,45
1789782605.336,down0,44000,39
1789782605.359,down0,43900,30
1789782605.382,down0,43800,17
1789782605.406,down0,43700,14
1789782605.429,down0,43600,29
1789782605.452,down0,43500,34
1789782605.475,down0,43400,27
1789782605.498,down0,43300,32
1789782605.521,down0,43200,17
1789782605.545,down0,43100,17
1789782605.567,down0,43000,26
1789782605.589,down0,42900,21
1789782605.611,down0,42800,15
1789782605.632,down0,42700,14
1789782605.653,down0,42600,24
1789782605.676,down0,42500,22
1789782605.7,down0,42400,27
1789782605.724,down0,42300,18
1789782605.748,down0,42200,28
1789782605.77,down0,42100,24
1789782605.793,down0,42000,30
1789782605.816,down0,41900,19
1789782605.838,down0,41800,28
1789782605.861,down0,41700,36
1789782605.884,down0,41600,21
1789782605.907,down0,41500,30
1789782605.929,down0,41400,40
1789782605.952,down0,41300,34
1789782605.975,down0,41200,48
1789782605.997,down0,41100,43
1789782606.02,down0,41000,45
1789782606.043,down0,40900,36
1789782606.065,down0,40800,62
1789782606.088,down0,40700,45
1789782606.111,down0,40600,41
1789782606.137,down0,40500,42
1789782606.162,down0,40400,47
1789782606.185,down0,40300,30
1789782606.21,down0,40200,46
1789782606.233,down0,40100,38
1789782606.256,down0,40000,37
1789782606.279,down0,39900,37
1789782606.302,down0,39800,43
1789782606.324,down0,39700,44
1789782606.35,down0,39600,29
1789782606.373,down0,39500,42
1789782606.396,down0,39400,30
1789782606.419,down0,39300,40
1789782606.443,down0,39200,34
1789782606.465,down0,39100,20
1789782606.488,down0,39000,34
1789782606.511,down0,38900,26
1789782606.533,down0,38800,31
1789782606.555,down0,38700,39
1789782606.575,down0,38600,33
1789782606.595,down0,38500,32
1789782606.616,down0,38400,45
1789782606.638,down0,38300,47
1789782606.659,down0,38200,47
1789782606.682,down0,38100,44
1789782606.704,down0,38000,41
1789782606.727,down0,37900,55
1789782606.751,down0,37800,63
1789782606.774,down0,37700,48
1789782606.797,down0,37600,31
1789782606.82,down0,37500,45
1789782606.842,down0,37400,55
1789782606.864,down0,37300,42
1789782606.886,down0,37200,36
1789782606.909,down0,37100,43
1789782606.932,down0,37000,48
1789782606.957,down0,36900,53
1789782606.98,down0,36800,53
1789782607.004,down0,36700,53
1789782607.027,down0,36600,55
1789782607.05,down0,36500,63
1789782607.073,down0,36400,65
1789782607.095,down0,36300,66
1789782607.118,down0,36200,52
1789782607.142,down0,36100,45
1789782607.164,down0,36000,58
1789782607.186,down0,35900,47
1789782607.209,down0,35800,97
1789782607.232,down0,35700,53
1789782607.255,down0,35600,63
1789782607.278,down0,35500,103
1789782607.302,down0,35400,85
1789782607.325,down0,35300,67
1789782607.35,down0,35200,66
1789782607.375,down0,35100,65
1789782607.399,down0,35000,75
