t_s,adcr
0.0003353999927639961,-46
0.0006225999968592077,47
0.0009065999765880406,1
0.0011748999822884798,57
0.0014430999872274697,89
0.001715999998850748,78
0.0019683999998960644,16
0.0022149999858811498,-13
0.0024648999969940633,33
0.0027237999893259257,-24
0.0029861999792046845,-19
0.0032609999761916697,-14
0.0035425999958533794,7
0.0038001999782864004,-30
0.004137399984756485,32
0.0044058999919798225,-15
0.004633799981093034,13
0.0048630999808665365,-38
0.005118299974128604,-83
0.005389899975853041,-30
0.005666199984261766,-15
0.005925799981923774,-19
0.006266099982894957,15
0.006544499978190288,-10
0.006802899995818734,23
0.007140000001527369,-13
0.0074102999933529645,-33
0.007684299984248355,-66
0.00799469999037683,-7
0.008263299998361617,2
0.008546400000341237,10
0.008796399983111769,13
0.009049299987964332,-49
0.009324399987235665,-50
0.00961269999970682,-70
0.00994589997571893,-55
0.010314299986930564,-27
0.010846999997738749,18
0.011221099994145334,-19
0.012037299980875105,28
0.012383599998429418,-27
0.012705100001767278,-72
0.012995799974305555,-29
0.013270099996589124,-36
0.013549600000260398,-6
0.013791599980322644,-21
0.014063799986615777,-63
0.014368099975399673,-39
0.014621299982536584,-29
0.014888999983668327,-24
0.01516129999072291,-15
0.01543689999380149,-24
0.015742499992484227,-7
0.01601769999251701,-14
0.01628419998451136,2
0.016540199983865023,-21
0.01680449998821132,-28
0.017132299981312826,20
0.017366799991577864,-7
0.017648399982135743,-15
0.01791090000187978,11
0.01818669997737743,-9
0.018495199998142198,32
0.018764799984637648,30
0.01904279997688718,44
0.019306099973618984,47
0.019642300001578405,53
0.01991269999416545,38
0.02019559999462217,44
0.02051599998958409,5
0.020765900000697002,-18
0.021023199980845675,-79
0.021287199982907623,31
0.021560900000622496,14
0.021891799988225102,-24
0.022146199975395575,-24
0.02247569998144172,-105
0.022749700001440942,6
0.023020900000119582,30
0.02329959999769926,28
0.023589099990203977,0
0.023852999991504475,8
0.02410249999957159,36
0.024352499982342124,-30
0.02460639999480918,-13
0.02487329998984933,-5
0.02514439998776652,13
0.02541529998416081,8
0.02572659999714233,27
0.02602269998169504,87
0.026574299990897998,3
0.027666999987559393,-26
0.02799469997989945,-25
0.028376599977491423,43
0.02869879998615943,-21
0.0289846999803558,-28
0.02927359999739565,18
0.02951919997576624,-27
0.029786999977659434,-28
0.03006469999672845,1
0.030401800002437085,61
0.03068559998064302,54
0.031018199981190264,-6
0.03127639999729581,-8
0.03151479997904971,-55
0.03179789998102933,-53
0.032047999993665144,19
0.03230449999682605,15
0.03262349998112768,-31
0.03289049997692928,-65
0.03314449999015778,-50
0.03341879998333752,-8
0.03368159997626208,10
0.034015499986708164,-23
0.034289599978365004,-9
0.03455529999337159,-10
0.03489929999341257,19
0.035142999986419454,53
0.03542059997562319,63
0.03567819998716004,58
0.03592399999615736,9
0.03618269998696633,33
0.036499899986665696,88
0.03676749998703599,14
0.0370239999901969,20
0.03727539998362772,47
0.037517799995839596,2
0.037803899991558865,1
0.038083999999798834,54
0.03835029999027029,22
0.03861189997405745,10
0.038881099986610934,-11
0.03914569999324158,10
0.039415799983544275,-8
0.03969340000185184,-5
0.03999889999977313,49
0.04026839998550713,48
0.04060329997446388,29
0.04093959997408092,-63
0.041264799976488575,-63
0.04172329997527413,16
0.04206139998859726,1
0.04232979999505915,-32
0.04278319998411462,36
0.04315139999380335,37
0.0434522999858018,-14
0.04372970000258647,-21
0.04415659999358468,-14
0.044725999992806464,52
0.045089099992765114,-63
0.04538470000261441,-62
0.04567039999528788,-32
0.04590639998787083,-23
0.04620099999010563,-25
0.04652389997499995,25
0.04676349999499507,23
0.047034399991389364,34
0.047351099987281486,31
0.0476405999797862,36
0.04791779999504797,4
0.04815479999524541,-20
0.04840729999705218,42
0.048677199985831976,46
0.049010799993993714,5
0.04929439999978058,20
0.04955329999211244,20
0.049887599976500496,-27
0.050155999982962385,-19
0.050430099974619225,-13
0.05076169999665581,39
0.05103269999381155,14
0.051302799984114245,45
0.05163390000234358,57
0.051913199975388125,45
0.052182999992510304,43
0.052525099978083745,-19
0.052761899976758286,-11
0.05303419998381287,-23
0.0533065999916289,-29
0.05363879998913035,-10
0.05391229997621849,18
0.05416049997438677,-48
0.05440929997712374,-53
0.05468119998113252,-47
0.0549944999802392,6
0.055246899981284514,-33
0.055529799981741235,-9
0.055809999990742654,-14
0.05614059997606091,52
0.0564120999770239,53
0.05668469998636283,11
0.05716639998718165,-25
0.05742949998239055,-4
0.057701999990968034,-23
0.057937199977459386,24
0.058245399995939806,9
0.0585193999868352,27
0.058781799976713955,-4
0.059054499986814335,8
0.05939280000166036,-70
0.059703599981730804,-94
0.05999699997482821,-28
0.06036639999365434,-40
0.06070149998413399,38
0.061145199986640364,-83
0.06144629998016171,22
0.06178119999822229,-86
0.06206989998463541,-66
0.062392799998633564,-7
0.06266450000111945,34
0.06293439998989925,39
0.0632653999782633,14
0.06353289997787215,27
0.06380319999880157,40
0.064150599995628,-17
0.06439069999032654,-57
0.06466889998409897,-85
0.06492879998404533,-89
0.06526319999829866,-15
0.0655401999829337,0
0.06580269997357391,-2
0.06613819999620318,63
0.06641069997567683,25
