t_s,adcr
0.0002982000005431473,-18
0.0005647999932989478,33
0.0008795000030659139,0
0.0010817000002134591,31
0.0013042000064160675,-38
0.0015067000058479607,-23
0.0018774000054690987,77
0.0022010999964550138,20
0.00246389998937957,74
0.002813700004480779,41
0.0031135999888647348,15
0.003399499983061105,-83
0.0037450999952852726,-109
0.004021999979158863,2
0.00428930000634864,34
0.004517599998507649,33
0.0047048999986145645,-70
0.004961400001775473,-54
0.005182299995794892,62
0.00540629998431541,23
0.0056016999878920615,32
0.005945999990217388,10
0.006174799986183643,2
0.006378099991707131,-37
0.0065987999842036515,-21
0.006903500005137175,-12
0.007091199979186058,19
0.007295299990801141,104
0.007503200002247468,-14
0.007723699993221089,-31
0.008048299991060048,7
0.008252100000390783,-75
0.008481900003971532,-6
0.008777599985478446,-19
0.009056399983819574,45
0.009302599995862693,-46
0.009525700006633997,48
0.009731900005135685,42
0.010030100005678833,54
0.010225699981674552,-11
0.010549800004810095,36
0.01078009998309426,-9
0.011011900001903996,-21
0.011253000004217029,-59
0.0114735999959521,-72
0.011803800007328391,-42
0.012032300001010299,-51
0.012256599991815165,25
0.01245149999158457,18
0.012697500002104789,-3
0.012927400006446987,7
0.013128799997502938,-18
0.013346699997782707,4
0.013565300003392622,33
0.013751599995885044,-46
0.013978300004964694,-31
0.014277399983257055,-7
0.014527299994369969,-65
0.014733999996678904,18
0.01502349998918362,22
0.01526339998235926,23
0.015462299983482808,8
0.015681599994422868,-15
0.015885100001469254,-25
0.016164000000571832,7
0.016384399990784004,-93
0.016577899979893118,81
0.01679819999844767,37
0.017004099994665012,-28
0.017221799993421882,-44
0.01752749999286607,-8
0.01775119997910224,-80
0.017971199995372444,-43
0.018277399998623878,24
0.018592999986140057,97
0.018823299993528053,38
0.019162099983077496,76
0.019490899983793497,-62
0.01979140000184998,-4
0.020068999991053715,27
0.020386399992275983,51
0.020707999996375293,-63
0.020984500006306916,-58
0.021313499979441985,-36
0.021621899999445304,-29
0.02193230000557378,-20
0.022208299982594326,-37
0.02247579998220317,-27
0.022756499995011836,-8
0.023027999995974824,-12
0.023330299998633564,4
0.023596799990627915,-15
0.02386099999421276,-35
0.02406870000413619,-25
0.024277899996377528,-11
0.024474200006807223,18
0.024755599995842203,2
0.02493990000220947,-83
0.025124499981757253,41
0.025318100000731647,36
0.0255559999786783,7
0.025802699994528666,-81
0.02609109997865744,-78
0.026440399989951402,2
0.026707699988037348,62
0.026956899993820116,-13
