t,value
0.00070,32767
0.00120,32767
0.00189,32767
0.00249,32767
0.00306,32767
0.00359,32767
0.00410,32767
0.00461,32767
0.00498,32767
0.00542,32767
0.00576,32767
0.00612,32767
0.00643,32767
0.00681,32767
0.00725,32767
0.00764,32767
0.00810,32767
0.00850,32767
0.00885,32767
0.00922,32767
0.00963,32767
0.01002,32767
0.01039,32767
0.01073,32767
0.01121,32767
0.01155,32767
0.01189,32767
0.01218,32767
0.01252,32767
0.01287,32767
0.01323,32767
0.01359,32767
0.01395,32767
0.01429,32767
0.01468,32767
0.01519,32767
0.01560,32767
0.01597,32767
0.01628,32767
0.01657,32767
0.01685,32767
0.01714,32767
0.01742,32767
0.01770,32767
0.01797,32767
0.01823,32767
0.01852,32767
0.01881,32767
0.01909,32767
0.01944,32767
0.01979,32767
0.02024,32767
0.02064,32767
0.02125,32767
0.02157,32767
0.02190,32767
0.02223,32767
0.02253,32767
0.02281,32767
0.02321,32767
0.02359,32767
0.02386,32767
0.02418,32767
0.02444,32767
0.02473,32767
0.02502,32767
0.02532,32767
0.02560,32767
0.02592,32767
0.02620,32767
0.02647,32767
0.02678,32767
0.02709,32767
0.02738,32767
0.02769,32767
0.02801,32767
0.02833,32767
0.02870,32767
0.02908,32767
0.02939,32767
0.02975,32767
0.03012,32767
0.03079,32767
0.03119,32767
0.03154,32767
0.03183,32767
0.03216,32767
0.03245,32767
0.03276,32767
0.03307,32767
0.03339,32767
0.03372,32767
0.03405,32767
0.03433,32767
0.03463,32767
0.03494,32767
0.03528,32767
0.03561,32767
0.03588,32767
0.03622,32767
0.03649,32767
0.03678,32767
0.03710,32767
0.03740,32767
0.03769,32767
0.03799,32767
0.03837,32767
0.03869,32767
0.03899,32767
0.03932,32767
0.03966,32767
0.03995,32767
0.04029,32767
0.04061,32767
0.04097,32767
0.04132,32767
0.04164,32767
0.04197,32767
0.04228,32767
0.04257,32767
0.04291,32767
0.04319,32767
0.04353,32767
0.04381,32767
0.04411,32767
0.04445,32767
0.04479,32767
0.04510,32767
0.04543,32767
0.04578,32767
0.04612,32767
0.04647,32767
0.04678,32767
0.04715,32767
0.04750,32767
0.04783,32767
0.04820,32767
0.04863,32767
0.04893,32767
0.04926,32767
0.04961,32767
0.04997,32767
0.05029,32767
0.05058,32767
0.05096,32767
0.05129,32767
0.05160,32767
0.05191,32767
0.05221,32767
0.05253,32767
0.05281,32767
0.05312,32767
0.05344,32767
0.05375,32767
0.05402,32767
0.05430,32767
0.05461,32767
0.05489,32767
0.05519,32767
