t,tag,z,mean
1789782203.458,down0,50000,25
1789782203.474,down0,49500,7
1789782203.489,down0,49000,15
1789782203.505,down0,48500,25
1789782203.522,down0,48000,7
1789782203.538,down0,47500,6
1789782203.554,down0,47000,-6
1789782203.57,down0,46500,23
1789782203.587,down0,46000,27
1789782203.601,down0,45500,14
1789782203.618,down0,45000,16
1789782203.634,down0,44500,-11
1789782203.648,down0,44000,12
1789782203.664,down0,43500,10
1789782203.68,down0,43000,13
1789782203.697,down0,42500,8
1789782203.714,down0,42000,26
1789782203.729,down0,41500,6
1789782203.745,down0,41000,6
1789782203.761,down0,40500,18
1789782203.776,down0,40000,2
1789782203.79,down0,39500,13
1789782203.805,down0,39000,27
1789782203.822,down0,38500,26
1789782203.838,down0,38000,14
1789782203.854,down0,37500,20
1789782203.87,down0,37000,-7
1789782203.887,down0,36500,33
1789782203.902,down0,36000,18
1789782203.919,down0,35500,-5
1789782203.934,down0,35000,14
1789782203.95,down0,34500,12
1789782203.965,down0,34000,1
1789782203.982,down0,33500,0
1789782203.997,down0,33000,12
1789782204.012,down0,32500,6
1789782204.023,down0,32000,27
1789782204.034,down0,31500,22
1789782204.047,down0,31000,2
1789782204.061,down0,30500,17
1789782204.076,down0,30000,24
1789782204.09,down0,29500,13
1789782204.105,down0,29000,19
1789782204.12,down0,28500,20
1789782204.136,down0,28000,26
1789782204.153,down0,27500,45
1789782204.168,down0,27000,27
1789782204.185,down0,26500,14
1789782204.202,down0,26000,10
1789782204.218,down0,25500,28
1789782204.234,down0,25000,27
1789782204.25,down0,24500,26
1789782204.266,down0,24000,12
1789782204.282,down0,23500,23
1789782204.298,down0,23000,19
1789782204.314,down0,22500,12
1789782204.33,down0,22000,7
1789782204.346,down0,21500,19
1789782204.361,down0,21000,2
1789782204.375,down0,20500,39
1789782204.39,down0,20000,21
1789782204.404,down0,19500,37
1789782204.421,down0,19000,8
1789782204.438,down0,18500,12
1789782204.455,down0,18000,-7
1789782204.471,down0,17500,10
