t,cycle,phase,z,adc
9.6273,0,start,15500,12347.2
9.6331,0,snap,12500,25.2
9.6386,0,pre,12500,-3.4
9.6436,0,find,12516,-39.4
9.6493,0,find,12532,6027
9.6548,0,pre,11932,1.4
9.6607,1,in,11932,6.6
9.6656,1,in,11936,-7
9.6706,1,in,11940,4.4
9.6755,1,in,11944,-14
9.6801,1,in,11948,28.6
9.6844,1,in,11952,16777.2
9.6897,1,snap,8952,14.4
9.6952,1,out,8948,1.8
9.7004,1,out,8944,-20.6
9.7051,1,out,8940,4.6
9.7109,1,out,8936,-36.8
9.7162,1,out,8932,-6.4
9.7214,1,out,8928,8
9.727,1,out,8924,-47.4
9.7324,1,out,8920,57
9.7376,1,out,8916,-16.4
9.7426,1,out,8912,-13
9.7479,1,out,8908,14.8
9.753,1,out,8904,-26.8
9.7578,1,out,8900,-23
9.7627,1,out,8896,-10
9.7674,1,out,8892,-3
9.773,1,out,8888,3.8
9.7785,1,out,8884,-2.6
9.7843,1,out,8880,19.2
9.79,1,out,8876,9.2
9.7951,1,out,8872,-17.8
9.8004,1,out,8868,-59.2
9.8065,1,out,8864,13
9.8122,1,out,8860,-60.8
9.8178,1,out,8856,-12.4
9.8239,1,out,8852,4.2
9.8292,1,out,8848,-7.2
9.8352,1,out,8844,-38.8
9.8412,1,out,8840,21.2
9.8463,1,out,8836,-12.2
9.8523,1,out,8832,9
9.858,1,out,8828,-29.4
9.8627,1,out,8824,-22.4
9.868,1,out,8820,11.2
9.8725,1,out,8816,-42
9.8772,1,out,8812,-50.6
9.8818,1,out,8808,-11.2
9.886,1,out,8804,27.8
9.8902,1,out,8800,7
9.8947,1,out,8796,-12.6
9.8985,1,out,8792,435.2
9.9032,1,out,8788,5837.4
9.9078,1,out,8784,32767
9.9136,1,snap,5784,7.4
9.9183,1,out2,5734,-18.4
9.9233,2,in,5734,-6.2
9.9286,2,in,5738,20.6
9.9334,2,in,5742,23.4
9.9382,2,in,5746,-30.6
9.9427,2,in,5750,-31.8
9.9475,2,in,5754,18.4
9.952,2,in,5758,43.6
9.9562,2,in,5762,-38.6
9.9609,2,in,5766,23.4
9.9654,2,in,5770,-23.2
9.9698,2,in,5774,-28
9.975,2,in,5778,-10.8
9.98,2,in,5782,29
9.9853,2,in,5786,22.6
9.9903,2,in,5790,-24.4
9.9955,2,in,5794,8
10.0001,2,in,5798,11.6
10.0044,2,in,5802,9.6
10.0088,2,in,5806,4.6
10.0133,2,in,5810,-52
10.0172,2,in,5814,-12.4
10.0209,2,in,5818,7.8
10.0251,2,in,5822,-10.2
10.03,2,in,5826,9
10.0339,2,in,5830,-36.4
10.038,2,in,5834,56.4
10.0422,2,in,5838,12
10.0472,2,in,5842,-7.4
10.0513,2,in,5846,39.8
10.0554,2,in,5850,-18.6
10.0601,2,in,5854,10.4
10.0647,2,in,5858,-36.8
10.0691,2,in,5862,28.4
10.0737,2,in,5866,20
10.0794,2,in,5870,-17.6
10.0852,2,in,5874,-36
10.091,2,in,5878,-4.6
10.0968,2,in,5882,-14.8
10.1024,2,in,5886,35.6
10.1076,2,in,5890,0.6
10.1127,2,in,5894,-32.4
10.1182,2,in,5898,-24.2
10.1238,2,in,5902,-9.8
10.1293,2,in,5906,-0.6
10.1352,2,in,5910,79.6
10.1411,2,in,5914,920.4
10.1463,2,in,5918,1758.8
10.1518,2,out,5914,6683.4
10.1571,2,out,5910,32767
10.1617,2,snap,2910,-38.6
10.1674,2,out2,2860,-8
10.1735,3,in,2860,-37.6
10.1785,3,in,2864,-3
10.1842,3,in,2868,-15.4
10.1906,3,in,2872,-21.8
10.1958,3,in,2876,6
10.202,3,in,2880,6.4
10.2073,3,in,2884,-6.6
10.2125,3,in,2888,-19.6
10.2181,3,in,2892,20.8
10.2234,3,in,2896,-8.8
10.2288,3,in,2900,12.2
10.2342,3,in,2904,9.2
10.2396,3,in,2908,-11.2
10.245,3,in,2912,-12.4
10.2503,3,in,2916,4.2
10.2558,3,in,2920,-24.6
10.261,3,in,2924,-17.4
10.2669,3,in,2928,-26.4
10.2723,3,in,2932,-7
10.2777,3,in,2936,6.2
10.2832,3,in,2940,-11.8
10.2888,3,in,2944,6
10.2943,3,in,2948,-32.8
10.3005,3,in,2952,22.6
10.3063,3,in,2956,-3.8
10.3117,3,in,2960,22.2
10.3178,3,in,2964,-18
10.3235,3,in,2968,4
10.3287,3,in,2972,-15.6
10.3339,3,in,2976,-16.4
10.3401,3,in,2980,3.8
10.3454,3,in,2984,21.4
10.3517,3,in,2988,-30
10.3573,3,in,2992,0.4
10.3625,3,in,2996,-9.2
10.3673,3,in,3000,-6.6
10.3722,3,in,3004,14.4
10.3781,3,in,3008,-30.8
10.3836,3,in,3012,18.2
10.3885,3,in,3016,11.2
10.3937,3,in,3020,-21
10.3984,3,in,3024,16.6
10.4027,3,in,3028,-4
10.4072,3,in,3032,18.8
10.4118,3,in,3036,9.8
10.4163,3,in,3040,22.8
10.4209,3,in,3044,26.8
10.4259,3,in,3048,-17.4
10.4308,3,in,3052,21.8
10.4352,3,in,3056,9.8
10.4401,3,in,3060,-11.2
10.4459,3,in,3064,-4.4
10.4518,3,in,3068,11.4
10.4575,3,in,3072,3.2
10.4625,3,in,3076,67.4
10.4682,3,in,3080,265.6
10.4734,3,in,3084,242.2
10.4788,3,in,3088,582
10.4845,3,in,3092,343.4
10.49,3,in,3096,526.4
10.4954,3,in,3100,799.2
10.5008,3,in,3104,411.4
10.5065,3,in,3108,107.4
10.5123,3,in,3112,239.6
10.5179,3,in,3116,112.2
10.5233,3,in,3120,27.2
10.5293,3,in,3124,58.4
10.5348,3,in,3128,42
10.5403,3,in,3132,12.4
10.5451,3,in,3136,12.6
10.5508,3,in,3140,-14
10.5564,3,in,3144,-5
10.5617,3,in,3148,5.8
10.567,3,in,3152,1.8
10.5723,3,in,3156,-15.4
10.5772,3,in,3160,5.2
10.5816,3,in,3164,22.6
10.5866,3,in,3168,-19.2
10.5909,3,in,3172,73
10.5961,3,in,3176,143.2
10.6015,3,in,3180,4188.6
10.6069,3,out,3176,9180
10.6124,3,snap,176,21382.8
10.6171,3,snap,0,13405
10.6217,4,in,0,13354
10.6266,4,pre,0,13177.8
10.6314,4,pre,0,6762.8
10.6367,4,pre,0,5954.2
10.6416,4,pre,0,1210.6
10.6467,4,pre,0,2956.8
10.6514,4,pre,0,2277.6
10.6566,4,pre,0,1721.4
10.6626,4,pre,0,1679.4
10.6678,4,pre,0,5087.8
10.6732,4,pre,0,32767
10.6786,4,pre,0,32767
10.6838,4,pre,0,32767
10.6888,4,pre,0,32767
10.694,4,pre,0,32767
10.6989,4,pre,0,32767
10.7039,4,pre,0,32767
10.7089,4,pre,0,32767
10.7135,4,pre,0,32767
10.7181,4,pre,0,32767
10.7227,4,pre,0,32767
10.7272,4,in,4,32767
10.7319,4,snap,0,32767
10.7369,5,in,0,32767
10.7417,5,pre,0,32767
10.7464,5,pre,0,32767
10.7511,5,pre,0,32767
10.7562,5,pre,0,32767
10.7616,5,pre,0,32767
10.7664,5,pre,0,32767
10.7715,5,pre,0,32767
10.7773,5,pre,0,32767
10.7818,5,pre,0,32767
10.7869,5,pre,0,32767
10.792,5,pre,0,32767
10.7973,5,pre,0,32767
10.8023,5,pre,0,32767
10.8073,5,pre,0,32767
10.8128,5,pre,0,32767
10.8173,5,pre,0,32767
10.8229,5,pre,0,32767
10.8282,5,pre,0,32767
10.8333,5,pre,0,32767
10.8383,5,pre,0,32767
10.8439,5,in,4,32767
10.8493,5,snap,0,32767
10.8543,6,in,0,2777
10.8601,6,pre,0,3124.2
10.8647,6,pre,0,3385.8
10.8705,6,pre,0,10064
10.8771,6,pre,0,17537.4
10.8832,6,pre,0,32767
10.8877,6,pre,0,32767
10.8943,6,pre,0,32767
10.8988,6,pre,0,32767
10.9037,6,pre,0,32767
10.9081,6,pre,0,32767
10.9125,6,pre,0,32767
10.917,6,pre,0,32767
10.9219,6,pre,0,32767
10.9267,6,pre,0,32767
10.9315,6,pre,0,32767
10.9364,6,pre,0,32767
10.9416,6,pre,0,32767
10.9467,6,pre,0,32767
10.9511,6,pre,0,32767
10.9558,6,pre,0,32767
10.9597,6,in,4,32767
10.964,6,snap,0,32767
10.968,7,in,0,32767
10.9719,7,pre,0,32767
10.9769,7,pre,0,32767
10.9816,7,pre,0,32767
10.986,7,pre,0,32767
10.9904,7,pre,0,32767
10.9967,7,pre,0,32767
11.001,7,pre,0,32767
11.0051,7,pre,0,32767
11.0094,7,pre,0,32767
11.0137,7,pre,0,32767
11.0173,7,pre,0,32767
11.0214,7,pre,0,32767
11.0259,7,pre,0,32767
11.0305,7,pre,0,32767
11.0348,7,pre,0,32767
11.039,7,pre,0,32767
11.044,7,pre,0,32767
11.0485,7,pre,0,32767
11.0531,7,pre,0,32767
11.058,7,pre,0,32767
11.063,7,in,4,32767
11.0688,7,snap,0,32767
11.0742,8,in,0,32767
11.0791,8,pre,0,32767
11.0839,8,pre,0,22880
11.0887,8,pre,0,1787
11.0933,8,pre,0,1046.6
11.0979,8,pre,0,455
11.1021,8,in,4,96.6
11.1068,8,in,8,72.4
11.1122,8,in,12,132.2
11.1176,8,in,16,226.4
11.1232,8,in,20,211.4
11.1284,8,in,24,502.2
11.1337,8,in,28,3454.8
11.1396,8,out,24,12787.6
11.145,8,snap,0,31704.6
11.1506,9,in,0,32767
11.1561,9,pre,0,32767
11.1612,9,pre,0,32660
11.1666,9,pre,0,25753.2
11.1725,9,pre,0,7469.6
11.1778,9,pre,0,1014
11.1829,9,pre,0,1148
11.1879,9,pre,0,345.6
11.193,9,in,4,386.8
11.1977,9,in,8,258.8
11.2022,9,in,12,220.8
11.2068,9,in,16,851
11.2117,9,in,20,3473.6
11.2163,9,out,16,5649.6
11.2203,9,out,12,32375.4
11.225,9,snap,0,32767
11.2301,10,in,0,32767
11.2357,10,pre,0,32767
11.2409,10,pre,0,32767
11.2458,10,pre,0,32767
11.2516,10,pre,0,32767
11.2573,10,pre,0,32767
11.2622,10,pre,0,32767
11.2678,10,pre,0,32767
11.2733,10,pre,0,32767
11.2788,10,pre,0,32767
11.2844,10,pre,0,32767
11.2896,10,pre,0,32767
11.2948,10,pre,0,32767
11.3002,10,pre,0,32767
11.3059,10,pre,0,32767
11.3111,10,pre,0,32767
11.3166,10,pre,0,32767
11.3227,10,pre,0,32767
11.3286,10,pre,0,32767
11.3342,10,pre,0,32767
11.3403,10,pre,0,32767
11.3458,10,in,4,32767
11.3518,10,snap,0,32767
11.3576,11,in,0,32767
11.3635,11,pre,0,32767
11.3692,11,pre,0,32767
11.3742,11,pre,0,32767
11.3795,11,pre,0,32767
11.3852,11,pre,0,32767
11.3905,11,pre,0,32767
11.3958,11,pre,0,32767
11.4009,11,pre,0,32767
11.4059,11,pre,0,32767
11.4119,11,pre,0,32767
11.4172,11,pre,0,32767
11.4219,11,pre,0,32767
11.4259,11,pre,0,32767
11.4303,11,pre,0,32767
11.4352,11,pre,0,32767
11.4401,11,pre,0,32767
11.4458,11,pre,0,32767
11.451,11,pre,0,32767
11.4561,11,pre,0,32767
11.461,11,pre,0,32767
11.466,11,in,4,32767
11.4714,11,snap,0,32767
11.476,12,in,0,32767
11.4808,12,pre,0,32767
11.4863,12,pre,0,32767
11.4915,12,pre,0,32767
11.4964,12,pre,0,32767
