t,steps,z_hit,adc
0.454,0,,
1.164,1,,
1.825,2,,
2.522,3,,
3.168,4,,
3.83,5,,
4.525,6,,
5.224,7,,
5.91,8,,
6.602,9,,
7.289,10,,
8.0,11,,
8.684,12,,
9.379,13,,
10.074,14,,
10.773,15,,
11.476,16,,
12.149,17,,
12.83,18,,
13.535,19,,
14.242,20,,
14.929,21,,
15.637,22,,
16.339,23,,
17.054,24,,
17.746,25,,
18.447,26,,
19.141,27,,
19.83,28,,
20.537,29,,
21.205,30,,
21.837,31,,
22.537,32,,
23.22,33,,
23.923,34,,
24.623,35,,
25.324,36,,
26.027,37,,
26.723,38,,
27.434,39,,
28.138,40,,
28.841,41,,
29.539,42,,
30.234,43,,
30.94,44,,
31.641,45,,
32.347,46,,
33.045,47,,
33.737,48,,
34.426,49,,
35.131,50,,
35.796,51,,
36.504,52,,
37.207,53,,
37.915,54,,
38.625,55,,
39.337,56,,
40.045,57,,
40.743,58,,
41.453,59,,
42.163,60,,
42.881,61,,
43.589,62,,
44.31,63,,
45.017,64,,
45.728,65,,
46.416,66,,
47.118,67,,
47.805,68,,
48.513,69,,
49.219,70,,
49.909,71,,
50.605,72,,
51.298,73,,
52.013,74,,
52.714,75,,
53.424,76,,
54.134,77,,
54.795,78,,
55.503,79,,
56.201,80,,
56.859,81,,
57.568,82,,
58.27,83,,
58.977,84,,
59.656,85,,
60.355,86,,
61.046,87,,
61.733,88,,
62.448,89,,
63.153,90,,
63.848,91,,
64.544,92,,
65.237,93,,
65.934,94,,
66.634,95,,
67.32,96,,
68.02,97,,
68.7,98,,
69.412,99,,
70.121,100,,
70.821,101,,
71.516,102,,
72.208,103,,
72.902,104,,
73.597,105,,
74.262,106,,
74.925,107,,
75.604,108,,
76.292,109,,
77.009,110,,
77.662,111,,
78.316,112,,
79.019,113,,
79.729,114,,
80.434,115,,
81.128,116,,
81.817,117,,
82.527,118,,
83.194,119,,
83.908,120,,
84.605,121,,
85.296,122,,
85.993,123,,
86.673,124,,
87.369,125,,
88.075,126,,
88.747,127,,
89.441,128,,
90.137,129,,
90.821,130,,
91.472,131,,
92.145,132,,
92.84,133,,
93.555,134,,
94.238,135,,
94.936,136,,
95.644,137,,
96.352,138,,
97.066,139,,
97.76,140,,
98.47,141,,
99.177,142,,
99.877,143,,
100.587,144,,
101.299,145,,
101.965,146,,
102.657,147,,
103.352,148,,
104.043,149,,
104.726,150,,
105.422,151,,
106.11,152,,
106.792,153,,
107.488,154,,
108.197,155,,
108.845,156,,
109.536,157,,
110.239,158,,
110.934,159,,
111.566,160,,
112.27,161,,
112.968,162,,
113.621,163,,
114.327,164,,
115.035,165,,
115.738,166,,
116.439,167,,
117.139,168,,
117.834,169,,
118.537,170,,
119.234,171,,
119.933,172,,
120.627,173,,
121.332,174,,
122.027,175,,
122.705,176,,
123.376,177,,
124.074,178,,
124.75,179,,
125.442,180,,
126.123,181,,
126.804,182,,
127.49,183,,
128.193,184,,
128.834,185,,
129.528,186,,
130.222,187,,
130.916,188,,
131.61,189,,
132.313,190,,
133.013,191,,
133.722,192,,
134.415,193,,
135.107,194,,
135.793,195,,
136.488,196,,
137.189,197,,
137.881,198,,
138.579,199,,
139.275,200,,
139.945,201,,
140.587,202,,
141.282,203,,
141.976,204,,
142.642,205,,
143.335,206,,
144.035,207,,
144.72,208,,
145.418,209,,
146.113,210,,
146.805,211,,
147.495,212,,
148.191,213,,
148.883,214,,
149.579,215,,
150.256,216,,
150.95,217,,
151.644,218,,
152.339,219,,
153.038,220,,
153.725,221,,
154.39,222,,
155.089,223,,
155.773,224,,
156.467,225,,
157.147,226,,
157.82,227,,
158.446,228,,
159.084,229,,
159.745,230,,
160.417,231,,
161.09,232,,
161.783,233,,
162.452,234,,
163.146,235,,
163.823,236,,
164.493,237,,
165.161,238,,
165.829,239,,
166.501,240,,
167.172,241,,
167.856,242,,
168.527,243,,
169.2,244,,
169.871,245,,
170.537,246,,
171.201,247,,
171.86,248,,
172.523,249,,
173.181,250,,
173.848,251,,
174.506,252,,
175.173,253,,
175.865,254,,
176.551,255,,
177.224,256,,
177.911,257,,
178.561,258,,
179.219,259,,
179.88,260,,
180.549,261,,
181.207,262,,
181.865,263,,
182.556,264,,
183.216,265,,
183.886,266,,
184.541,267,,
185.209,268,,
185.889,269,,
186.528,270,,
187.187,271,,
187.841,272,,
188.481,273,,
189.123,274,,
189.792,275,,
190.451,276,,
191.121,277,,
191.777,278,,
192.425,279,,
193.078,280,,
193.758,281,,
194.407,282,,
195.065,283,,
195.733,284,,
196.419,285,,
197.065,286,,
197.742,287,,
198.39,288,,
199.04,289,,
199.694,290,,
200.376,291,,
201.062,292,,
201.734,293,,
202.381,294,,
203.046,295,,
203.72,296,,
204.395,297,,
205.062,298,,
205.72,299,,
206.387,300,,
207.053,301,,
207.722,302,,
208.379,303,,
209.071,304,,
209.754,305,,
210.396,306,,
211.091,307,,
211.772,308,,
212.475,309,,
213.186,310,,
213.885,311,,
214.588,312,,
215.284,313,,
215.981,314,,
216.655,315,,
217.363,316,,
218.048,317,,
218.73,318,,
219.376,319,,
220.06,320,,
220.757,321,,
221.463,322,,
222.178,323,,
222.864,324,,
223.576,325,,
224.277,326,,
224.975,327,,
225.68,328,,
226.389,329,,
227.068,330,,
227.706,331,,
228.359,332,,
229.057,333,,
229.761,334,,
230.473,335,,
231.192,336,,
231.894,337,,
232.6,338,,
233.319,339,,
234.017,340,,
234.704,341,,
235.398,342,,
236.036,343,,
236.683,344,,
237.38,345,,
238.076,346,,
238.762,347,,
239.458,348,,
240.151,349,,
240.839,350,,
241.533,351,,
242.232,352,,
242.923,353,,
243.616,354,,
244.304,355,,
245.006,356,,
245.682,357,,
246.375,358,,
247.073,359,,
247.75,360,,
248.444,361,,
249.139,362,,
249.826,363,,
250.521,364,,
251.215,365,,
251.91,366,,
252.606,367,,
253.301,368,,
253.984,369,,
254.672,370,,
255.367,371,,
256.06,372,,
256.735,373,,
257.426,374,,
258.125,375,,
258.808,376,,
259.501,377,,
260.201,378,,
260.864,379,,
261.562,380,,
262.253,381,,
262.914,382,,
263.608,383,,
264.308,384,,
265.004,385,,
265.695,386,,
266.393,387,,
267.061,388,,
267.735,389,,
268.432,390,,
269.124,391,,
269.81,392,,
270.508,393,,
271.205,394,,
271.861,395,,
272.562,396,,
273.263,397,,
273.972,398,,
274.681,399,,
275.374,400,,
276.067,401,,
276.726,402,,
277.414,403,,
278.044,404,,
278.739,405,,
279.44,406,,
280.149,407,,
280.846,408,,
281.55,409,,
282.258,410,,
282.961,411,,
283.666,412,,
284.339,413,,
285.047,414,,
285.713,415,,
286.415,416,,
287.12,417,,
287.79,418,,
288.487,419,,
289.182,420,,
289.818,421,,
290.517,422,,
291.214,423,,
291.91,424,,
292.598,425,,
293.29,426,,
293.949,427,,
294.65,428,,
295.354,429,,
296.012,430,,
296.714,431,,
297.41,432,,
298.106,433,,
298.799,434,,
299.499,435,,
300.191,436,,
300.89,437,,
301.593,438,,
302.293,439,,
302.993,440,,
303.689,441,,
304.391,442,,
305.094,443,,
305.764,444,,
306.456,445,,
307.141,446,,
307.844,447,,
308.537,448,,
309.236,449,,
309.926,450,,
310.627,451,,
311.272,452,,
311.966,453,,
312.592,454,,
313.291,455,,
313.988,456,,
314.681,457,,
315.387,458,,
316.087,459,,
316.764,460,,
317.477,461,,
318.184,462,,
318.878,463,,
319.576,464,,
320.278,465,,
320.985,466,,
321.672,467,,
322.365,468,,
323.061,469,,
323.746,470,,
324.446,471,,
325.144,472,,
325.839,473,,
326.552,474,,
327.256,475,,
327.95,476,,
328.641,477,,
329.341,478,,
330.039,479,,
330.734,480,,
331.43,481,,
332.13,482,,
332.813,483,,
