11:58:24 0 steps, nothing in Z 0..62000
11:58:41 25 steps, nothing in Z 0..62000
11:58:59 50 steps, nothing in Z 0..62000
11:59:16 75 steps, nothing in Z 0..62000
11:59:34 100 steps, nothing in Z 0..62000
11:59:51 125 steps, nothing in Z 0..62000
12:00:08 150 steps, nothing in Z 0..62000
12:00:25 175 steps, nothing in Z 0..62000
12:00:43 200 steps, nothing in Z 0..62000
12:01:00 225 steps, nothing in Z 0..62000
12:01:17 250 steps, nothing in Z 0..62000
12:01:33 275 steps, nothing in Z 0..62000
12:01:50 300 steps, nothing in Z 0..62000
12:02:07 325 steps, nothing in Z 0..62000
12:02:24 350 steps, nothing in Z 0..62000
12:02:42 375 steps, nothing in Z 0..62000
12:02:59 400 steps, nothing in Z 0..62000
12:03:16 425 steps, nothing in Z 0..62000
12:03:33 450 steps, nothing in Z 0..62000
12:03:51 475 steps, nothing in Z 0..62000
12:04:08 500 steps, nothing in Z 0..62000
12:04:26 525 steps, nothing in Z 0..62000
12:04:43 550 steps, nothing in Z 0..62000
12:05:01 575 steps, nothing in Z 0..62000
12:05:18 600 steps, nothing in Z 0..62000
12:05:35 625 steps, nothing in Z 0..62000
12:05:53 650 steps, nothing in Z 0..62000
12:05:53 RESULT: limit after 650 approach steps; Z left at 0
