t,cycle,phase,z,adc
0.2953,0,start,4000,-46.6
0.2987,0,find,4016,5.4
0.303,0,find,4032,-9
0.3067,0,find,4048,-26.8
0.3106,0,find,4064,-18
0.3143,0,find,4080,-11.8
0.3183,0,find,4096,-32.4
0.3227,0,find,4112,21.2
0.3259,0,find,4128,15.2
0.3297,0,find,4144,-21.6
0.3332,0,find,4160,-13.6
0.3371,0,find,4176,-4.6
0.3404,0,find,4192,-9.6
0.3438,0,find,4208,-0.8
0.3471,0,find,4224,-16.2
0.3511,0,find,4240,-41.6
0.3558,0,find,4256,-4.4
0.3601,0,find,4272,8
0.3643,0,find,4288,-41.6
0.3684,0,find,4304,0
0.3731,0,find,4320,3.4
0.377,0,find,4336,-5.8
0.3809,0,find,4352,9.8
0.3849,0,find,4368,-37.4
0.3896,0,find,4384,34.6
0.3938,0,find,4400,-28.2
0.3977,0,find,4416,-16.2
0.4017,0,find,4432,-21.2
0.4062,0,find,4448,3.4
0.4096,0,find,4464,27.8
0.4134,0,find,4480,5
0.4173,0,find,4496,-5.2
0.4211,0,find,4512,3.2
0.4252,0,find,4528,-21.8
0.4291,0,find,4544,45.4
0.4332,0,find,4560,51.6
0.4374,0,find,4576,-18.2
0.4412,0,find,4592,2.2
0.4452,0,find,4608,24
0.4492,0,find,4624,41.6
0.4541,0,find,4640,3.4
0.4583,0,find,4656,22.2
0.4625,0,find,4672,-6.6
0.4665,0,find,4688,27.4
0.4708,0,find,4704,6.6
0.4753,0,find,4720,-14.8
0.4791,0,find,4736,13.6
0.4831,0,find,4752,-0.4
0.4874,0,find,4768,3.8
0.4911,0,find,4784,-8.6
0.4952,0,find,4800,-31.2
0.4992,0,find,4816,-12.6
0.5032,0,find,4832,6.4
0.5071,0,find,4848,-16.8
0.511,0,find,4864,41.6
0.5151,0,find,4880,12
0.5193,0,find,4896,10
0.5245,0,find,4912,0.4
0.5287,0,find,4928,-14.8
0.5329,0,find,4944,12.4
0.5378,0,find,4960,4.6
0.542,0,find,4976,-35.4
0.5465,0,find,4992,45
0.5503,0,find,5008,-9.8
0.5547,0,find,5024,-27
0.5589,0,find,5040,-47
0.5628,0,find,5056,-16.2
0.5665,0,find,5072,-14.4
0.5708,0,find,5088,-5.2
0.5751,0,find,5104,38.6
0.5791,0,find,5120,7.8
0.5829,0,find,5136,-49.8
0.5868,0,find,5152,-0.6
0.591,0,find,5168,34.4
0.5954,0,find,5184,-13.8
0.5995,0,find,5200,3
0.6033,0,find,5216,-20.4
0.6067,0,find,5232,-15.6
0.6107,0,find,5248,13.8
0.6148,0,find,5264,31.2
0.6194,0,find,5280,-1
0.6234,0,find,5296,18.8
0.6273,0,find,5312,-42.8
0.6309,0,find,5328,-11.4
0.6353,0,find,5344,4.6
0.6393,0,find,5360,-6.2
0.6433,0,find,5376,14.2
0.6472,0,find,5392,-24.2
0.6511,0,find,5408,-6.6
0.6554,0,find,5424,-4.6
0.659,0,find,5440,4.4
0.6627,0,find,5456,-8.8
0.6665,0,find,5472,-31.8
0.6708,0,find,5488,-12.2
0.6752,0,find,5504,-46.2
0.679,0,find,5520,4.6
0.6827,0,find,5536,10.4
0.6867,0,find,5552,-42
0.6907,0,find,5568,-2.8
0.6945,0,find,5584,20.2
0.6984,0,find,5600,-46
0.7026,0,find,5616,-27.8
0.7071,0,find,5632,32.2
0.7109,0,find,5648,-0.6
0.7153,0,find,5664,23.6
0.7197,0,find,5680,-23.4
0.7235,0,find,5696,11.8
0.7275,0,find,5712,19.6
0.7314,0,find,5728,14.8
0.7357,0,find,5744,-5
0.7399,0,find,5760,8
0.7437,0,find,5776,-5.4
0.748,0,find,5792,28.8
0.7527,0,find,5808,0.2
0.757,0,find,5824,-41
0.7615,0,find,5840,14
0.7655,0,find,5856,53
0.77,0,find,5872,-8.8
0.7734,0,find,5888,3.4
0.7768,0,find,5904,7
0.7804,0,find,5920,-10.6
0.7843,0,find,5936,-36.4
0.7887,0,find,5952,-2.4
0.7928,0,find,5968,38.2
0.7966,0,find,5984,35.4
0.8006,0,find,6000,-16.2
0.8046,0,find,6016,-1.8
0.808,0,find,6032,27.8
0.8117,0,find,6048,3.6
0.8151,0,find,6064,11.6
0.8192,0,find,6080,-12.6
0.8227,0,find,6096,11.4
0.8259,0,find,6112,11.2
0.8293,0,find,6128,-4
0.8326,0,find,6144,-13
0.8362,0,find,6160,36
0.8397,0,find,6176,25.4
0.8431,0,find,6192,-6.6
0.8466,0,find,6208,-11.2
0.85,0,find,6224,-1.6
0.8538,0,find,6240,19.4
0.8569,0,find,6256,-4.2
0.8603,0,find,6272,10
0.8635,0,find,6288,21.8
0.8669,0,find,6304,-14
0.8705,0,find,6320,-18.6
0.8738,0,find,6336,9.2
0.8773,0,find,6352,-7.6
0.8808,0,find,6368,-13.2
0.8845,0,find,6384,-25.6
0.888,0,find,6400,-4
0.8915,0,find,6416,25
0.895,0,find,6432,5
0.8986,0,find,6448,-28.6
0.9031,0,find,6464,-23.6
0.9068,0,find,6480,-4.6
0.9103,0,find,6496,-9
0.9138,0,find,6512,-9.2
0.9173,0,find,6528,-0.8
0.9211,0,find,6544,-10.6
0.9244,0,find,6560,4
0.9282,0,find,6576,-10
0.9318,0,find,6592,-17
0.9357,0,find,6608,-5
0.9391,0,find,6624,7.8
0.9428,0,find,6640,-15
0.9463,0,find,6656,12.4
0.9498,0,find,6672,6.6
0.9537,0,find,6688,-31.4
0.9571,0,find,6704,10
0.9605,0,find,6720,-17
0.9642,0,find,6736,-9
0.9677,0,find,6752,-20.2
0.9712,0,find,6768,-13.4
0.9747,0,find,6784,1.4
0.9784,0,find,6800,9.8
0.9816,0,find,6816,23.4
0.9859,0,find,6832,30.4
0.9897,0,find,6848,4.2
0.9934,0,find,6864,-11.2
0.9968,0,find,6880,-17.4
1.0002,0,find,6896,-17.8
1.0042,0,find,6912,-6
1.0076,0,find,6928,-1.6
1.0113,0,find,6944,1.8
1.0148,0,find,6960,5
1.0186,0,find,6976,-22
1.0224,0,find,6992,-5.8
1.0257,0,find,7008,3.8
1.0292,0,find,7024,-25.8
1.0329,0,find,7040,5.4
1.0373,0,find,7056,-17.4
1.0412,0,find,7072,17
1.0445,0,find,7088,-4
1.048,0,find,7104,5.8
1.0525,0,find,7120,3
1.0562,0,find,7136,-8.4
1.0596,0,find,7152,3
1.0636,0,find,7168,8
1.0669,0,find,7184,-0.8
1.071,0,find,7200,8.4
1.0745,0,find,7216,-7.4
1.078,0,find,7232,7.6
1.0815,0,find,7248,-12.2
1.0861,0,find,7264,12.4
1.0897,0,find,7280,14.8
1.0934,0,find,7296,-1.2
1.0967,0,find,7312,5.6
1.1002,0,find,7328,-7.4
1.1045,0,find,7344,28.8
1.1082,0,find,7360,4.2
1.1117,0,find,7376,-21.8
1.1154,0,find,7392,-40.6
1.1199,0,find,7408,4
1.1235,0,find,7424,-2.6
1.1272,0,find,7440,3.2
1.1306,0,find,7456,-25.8
1.1343,0,find,7472,-52
1.138,0,find,7488,1.8
1.1412,0,find,7504,9.2
1.1444,0,find,7520,-25.6
1.1478,0,find,7536,27.4
1.1518,0,find,7552,-41.8
1.1555,0,find,7568,-6
1.1591,0,find,7584,-19.8
1.1625,0,find,7600,1.4
1.1664,0,find,7616,-35
1.1705,0,find,7632,9
1.1737,0,find,7648,7
1.1778,0,find,7664,-16
1.1816,0,find,7680,1.8
1.1856,0,find,7696,-34.8
1.189,0,find,7712,-5.2
1.1926,0,find,7728,31.6
1.1963,0,find,7744,-12.8
1.1999,0,find,7760,6.4
1.204,0,find,7776,27.6
1.2073,0,find,7792,0.4
1.2107,0,find,7808,-23.4
1.2141,0,find,7824,-5.6
1.2174,0,find,7840,-43
1.2216,0,find,7856,46.6
1.2251,0,find,7872,-1.8
1.2286,0,find,7888,7.2
1.2324,0,find,7904,7.2
1.2362,0,find,7920,-0.4
1.2398,0,find,7936,-18
1.2435,0,find,7952,1.6
1.2471,0,find,7968,-17
1.2504,0,find,7984,23.2
1.2543,0,find,8000,10.2
1.2577,0,find,8016,-22.2
1.2612,0,find,8032,8.4
1.2649,0,find,8048,10.6
1.2692,0,find,8064,-14.6
1.273,0,find,8080,12.4
1.2765,0,find,8096,-2.2
1.2799,0,find,8112,-12.6
1.2837,0,find,8128,3.2
1.2875,0,find,8144,6.4
1.2909,0,find,8160,32
1.2941,0,find,8176,-1.2
1.2974,0,find,8192,-1.6
1.3008,0,find,8208,-25
1.3046,0,find,8224,-3.6
1.3078,0,find,8240,-19.8
1.3114,0,find,8256,8.8
1.3152,0,find,8272,10.4
1.3189,0,find,8288,3.4
1.3224,0,find,8304,-18.4
1.3258,0,find,8320,25.4
1.3291,0,find,8336,-3.6
1.3324,0,find,8352,33.8
1.3364,0,find,8368,-33.6
1.3398,0,find,8384,17.6
1.3433,0,find,8400,14.8
1.3468,0,find,8416,-16.2
1.35,0,find,8432,3
1.354,0,find,8448,-7.6
1.3575,0,find,8464,-6.6
1.3617,0,find,8480,12.2
1.3656,0,find,8496,11.2
1.37,0,find,8512,-14.6
1.3736,0,find,8528,13.6
1.3773,0,find,8544,5.8
1.3808,0,find,8560,0.4
1.3842,0,find,8576,-26.2
1.3879,0,find,8592,-13.4
1.3912,0,find,8608,8.4
1.3947,0,find,8624,31.2
1.398,0,find,8640,1
1.4016,0,find,8656,-3.6
1.4055,0,find,8672,3.8
1.409,0,find,8688,27.8
1.4125,0,find,8704,-4.4
1.416,0,find,8720,-14.6
1.4202,0,find,8736,-24.6
1.4239,0,find,8752,14.2
1.4274,0,find,8768,7.6
1.4311,0,find,8784,-18.8
1.4346,0,find,8800,-7.8
1.4382,0,find,8816,-4
1.4418,0,find,8832,-6
1.4452,0,find,8848,-17.2
1.4488,0,find,8864,34.8
1.4532,0,find,8880,-19
1.4566,0,find,8896,-0.8
1.4599,0,find,8912,-8.2
1.4634,0,find,8928,-6.6
1.467,0,find,8944,-7
1.4705,0,find,8960,-31.6
1.4738,0,find,8976,-27.2
1.4774,0,find,8992,-1.6
1.481,0,find,9008,-24
1.4844,0,find,9024,-36.8
1.488,0,find,9040,-11.2
1.4913,0,find,9056,-5
1.495,0,find,9072,-29
1.4985,0,find,9088,6.2
1.5027,0,find,9104,-12.6
1.5067,0,find,9120,-12.6
1.5102,0,find,9136,-25
1.5138,0,find,9152,-25.8
1.5174,0,find,9168,-9
1.5213,0,find,9184,-11
1.5247,0,find,9200,12
1.5283,0,find,9216,5.2
1.5319,0,find,9232,-3.2
1.536,0,find,9248,-4
1.5393,0,find,9264,4.6
1.5427,0,find,9280,1.8
1.546,0,find,9296,-2.6
1.5494,0,find,9312,-4.8
1.5536,0,find,9328,3.8
1.5571,0,find,9344,27.4
1.5604,0,find,9360,-10.8
1.5642,0,find,9376,1.6
1.5677,0,find,9392,-40.8
1.5714,0,find,9408,16.8
1.5747,0,find,9424,37
1.5783,0,find,9440,-18.2
1.5822,0,find,9456,-10.4
1.5864,0,find,9472,1.6
1.5897,0,find,9488,-1.8
1.5932,0,find,9504,26
1.5969,0,find,9520,-0.4
1.6004,0,find,9536,-2.8
1.6044,0,find,9552,-4.4
1.6078,0,find,9568,13.8
1.6111,0,find,9584,-20.2
1.6147,0,find,9600,-23.6
1.6186,0,find,9616,3.2
1.6222,0,find,9632,20.2
1.6258,0,find,9648,39
1.6294,0,find,9664,-18.6
1.6328,0,find,9680,17
1.6371,0,find,9696,-7.8
1.6405,0,find,9712,-19
1.644,0,find,9728,-13.8
1.6477,0,find,9744,11.6
1.6512,0,find,9760,12
1.6548,0,find,9776,-11.6
1.6584,0,find,9792,22
1.662,0,find,9808,10
1.6655,0,find,9824,9.6
1.6699,0,find,9840,3.6
1.6736,0,find,9856,23.4
1.6776,0,find,9872,-29.4
1.6808,0,find,9888,-24.6
1.6842,0,find,9904,-14.2
1.6877,0,find,9920,17
1.6916,0,find,9936,10.6
1.6952,0,find,9952,-29.6
1.6985,0,find,9968,6.6
1.7027,0,find,9984,-5.2
1.7061,0,find,10000,2.2
1.7095,0,find,10016,26
1.7131,0,find,10032,-8.4
1.7169,0,find,10048,-7.8
1.7206,0,find,10064,3.2
1.7241,0,find,10080,23.6
1.7278,0,find,10096,-2.4
1.7314,0,find,10112,21.2
1.735,0,find,10128,2.2
1.7391,0,find,10144,6.2
1.7429,0,find,10160,11.2
1.7466,0,find,10176,-4.2
1.75,0,find,10192,-1.4
1.754,0,find,10208,-8.2
1.7574,0,find,10224,17.8
1.7609,0,find,10240,-0.4
1.7646,0,find,10256,9
1.7681,0,find,10272,6.6
1.772,0,find,10288,4
1.7753,0,find,10304,6.6
1.7789,0,find,10320,4.4
1.7821,0,find,10336,-11
1.7867,0,find,10352,-37.8
1.7904,0,find,10368,-0.6
1.7939,0,find,10384,-7
1.7974,0,find,10400,-21.2
1.8014,0,find,10416,-26
1.8049,0,find,10432,0
1.8081,0,find,10448,-4.2
1.8115,0,find,10464,-38.8
1.8148,0,find,10480,-3.4
1.8181,0,find,10496,-6.4
1.8226,0,find,10512,12.4
1.8258,0,find,10528,4.8
1.8294,0,find,10544,-1
1.8331,0,find,10560,12
1.8372,0,find,10576,7
1.8404,0,find,10592,2.4
1.8441,0,find,10608,-18
1.8478,0,find,10624,6.4
1.8513,0,find,10640,-18.2
1.8549,0,find,10656,-5.4
